LOCATION,SUBURB,Reason Code,Audit Date,full_location,row_index,index,longitude,latitude,corrected address,extracted_on
Hamilton Highway,LISMORE,C,Apr-2018,"Hamilton Highway, LISMORE",596,596.0,143.3477783,-37.9525657,"Hamilton Hwy, Lismore VIC 3324, Australia",2018-August-06
Hamilton Highway,MORTLAKE,C,Apr-2018,"Hamilton Highway, MORTLAKE",597,597.0,142.7697333,-38.044311,"Hamilton Hwy, Mortlake VIC 3272, Australia",2018-August-06
Hamilton Highway,MURGHEBOLUC,AC,Apr-2018,"Hamilton Highway, MURGHEBOLUC",598,598.0,144.1416882,-38.1069463,"Hamilton Hwy, Murgheboluc VIC 3218, Australia",2018-August-06
Hamilton Highway,PENSHURST,C,May-2018,"Hamilton Highway, PENSHURST",599,599.0,142.3410786,-37.8670213,"Hamilton Hwy, Penshurst VIC 3289, Australia",2018-August-06
Hamilton Highway,STONEHAVEN,AC,Apr-2018,"Hamilton Highway, STONEHAVEN",600,600.0,144.2256371,-38.1230938,"Hamilton Hwy, Stonehaven VIC 3218, Australia",2018-August-06
Hamilton-Natimuk Road,CAVENDISH,C,May-2018,"Hamilton-Natimuk Road, CAVENDISH",601,601.0,141.9733398,-37.4665852,"Natimuk-Hamilton Rd, Cavendish VIC 3314, Australia",2018-August-06
Hanlon Parade,PORTLAND,C,May-2018,"Hanlon Parade, PORTLAND",602,602.0,141.6031904,-38.3279508,"Hanlon Parade, Portland VIC 3305, Australia",2018-August-06
Hanson Road,CRAIGIEBURN,C,Dec-2017,"Hanson Road, CRAIGIEBURN",603,603.0,144.9371009,-37.5909433,"Hanson Rd, Craigieburn VIC 3064, Australia",2018-August-06
Harcourt Road,BORONIA,BC,Feb-2018,"Harcourt Road, BORONIA",604,604.0,145.2980503,-37.8593814,"Harcourt Rd, Boronia VIC 3155, Australia",2018-August-06
Hargraves Street,CASTLEMAINE,C,May-2018,"Hargraves Street, CASTLEMAINE",605,605.0,144.2205592,-37.0588987,"Hargraves St, Castlemaine VIC 3450, Australia",2018-August-06
Harold Road,SPRINGVALE SOUTH,C,Apr-2018,"Harold Road, SPRINGVALE SOUTH",606,606.0,145.155094,-37.9757981,"Harold Rd, Springvale South VIC 3172, Australia",2018-August-06
Harris Street,WARRNAMBOOL,C,Apr-2018,"Harris Street, WARRNAMBOOL",607,607.0,142.4708463,-38.3875027,"Harris St, Warrnambool VIC 3280, Australia",2018-August-06
Hattah-Robinvale Road,HATTAH,C,Jun-2018,"Hattah-Robinvale Road, HATTAH",608,608.0,142.4007539,-34.7705434,"Hattah-Robinvale Rd, Hattah VIC 3501, Australia",2018-August-06
Hawkins Street,SHEPPARTON,BC,Apr-2018,"Hawkins Street, SHEPPARTON",609,609.0,145.4085208,-36.3542572,"Hawkins St, Shepparton VIC 3630, Australia",2018-August-06
