LOCATION,SUBURB,Reason Code,Audit Date,full_location,row_index,index,longitude,latitude,corrected address,extracted_on
Agar Road,CORONET BAY,BC,Jul-2018,"Agar Road, CORONET BAY",0,0.0,145.4465196,-38.435757,"Agar Rd, Coronet Bay VIC 3984, Australia",2018-August-06
Aitken Boulevard,CRAIGIEBURN,ABC,Dec-2017,"Aitken Boulevard, CRAIGIEBURN",1,1.0,144.9099171,-37.5947825999999,"Aitken Blvd, Craigieburn VIC 3064, Australia",2018-August-06
Aitken Boulevard,ROXBURGH PARK,ABC,Dec-2017,"Aitken Boulevard, ROXBURGH PARK",2,2.0,144.9149524,-37.62434,"Aitken Blvd, Roxburgh Park VIC 3064, Australia",2018-August-06
Aitken Street,ALEXANDRA,C,Apr-2018,"Aitken Street, ALEXANDRA",3,3.0,145.7036064,-37.187826,"Aitken St, Alexandra VIC 3714, Australia",2018-August-06
Albert Avenue,BORONIA,C,Jan-2018,"Albert Avenue, BORONIA",4,4.0,145.2976319,-37.854281,"Albert Ave, Boronia VIC 3155, Australia",2018-August-06
Albert Road,WARRAGUL,ABC,Apr-2018,"Albert Road, WARRAGUL",5,5.0,145.9486681,-38.1624325,"Albert Rd, Warragul VIC 3820, Australia",2018-August-06
Alexanders Road,MORWELL,ABC,Apr-2018,"Alexanders Road, MORWELL",6,6.0,146.4440671,-38.2183567,"Alexanders Rd, Morwell VIC 3840, Australia",2018-August-06
Allan Street,KYABRAM,C,Apr-2018,"Allan Street, KYABRAM",7,7.0,145.049871,-36.3134903,"Allan St, Kyabram VIC 3620, Australia",2018-August-06
Allenby Avenue,RESERVOIR,C,Apr-2018,"Allenby Avenue, RESERVOIR",8,8.0,145.0063066,-37.7026163,"Allenby Ave, Reservoir VIC 3073, Australia",2018-August-06
Allies Road,MYERS FLAT,AC,Jul-2018,"Allies Road, MYERS FLAT",9,9.0,144.2008949,-36.7201102,"Allies Rd, Myers Flat VIC 3556, Australia",2018-August-06
Alma Street,TOOTGAROOK,BC,May-2018,"Alma Street, TOOTGAROOK",10,10.0,144.8508288,-38.3769892,"Alma St, Tootgarook VIC 3941, Australia",2018-August-06
Ambrose Treacy Drive,BUNDOORA,BC,Apr-2018,"Ambrose Treacy Drive, BUNDOORA",11,11.0,145.0713899,-37.6895381,"Ambrose Treacy Dr, Bundoora VIC 3083, Australia",2018-August-06
Anakie Road,BELL PARK,BC,Apr-2018,"Anakie Road, BELL PARK",12,12.0,144.3328413,-38.1040111,"Anakie Rd, Bell Park VIC 3215, Australia",2018-August-06
Anderson Road,FAWKNER,C,Dec-2017,"Anderson Road, FAWKNER",13,13.0,144.9663864,-37.6955532,"Anderson Rd, Fawkner VIC 3060, Australia",2018-August-06
Anderson Road,SUNSHINE,ABC,Jul-2018,"Anderson Road, SUNSHINE",14,14.0,144.827243,-37.785981,"Anderson Rd, Sunshine VIC 3020, Australia",2018-August-06
Anglesea Road,FRESHWATER CREEK,BC,Apr-2018,"Anglesea Road, FRESHWATER CREEK",15,15.0,144.2695112,-38.2696743,"Anglesea Rd, Freshwater Creek VIC 3217, Australia",2018-August-06
Anzac Parade,BANDIANA,C,Apr-2018,"Anzac Parade, BANDIANA",16,16.0,146.9171015,-36.1414452,"Anzac Parade, Victoria, Australia",2018-August-06
Anzac Road,TRAFALGAR,B,Apr-2018,"Anzac Road, TRAFALGAR",17,17.0,146.157171,-38.2107527,"Anzac Rd, Trafalgar VIC 3824, Australia",2018-August-06
Apollo Road,TAYLORS LAKES,BC,Jul-2018,"Apollo Road, TAYLORS LAKES",18,18.0,144.7993035,-37.7085649,"Apollo Rd, Taylors Lakes VIC 3038, Australia",2018-August-06
Ararat Road,STAWELL,B,Jul-2018,"Ararat Road, STAWELL",19,19.0,142.7720395,-37.0714732,"Ararat Rd, Stawell VIC 3380, Australia",2018-August-06
Ararat-Halls Gap Road,JALLUKAR,AC,Jul-2018,"Ararat-Halls Gap Road, JALLUKAR",20,20.0,142.6968731,-37.2393266,"Jallukar N Rd & Ararat-Halls Gap Rd, Moyston VIC 3377, Australia",2018-August-06
Ararat-Halls Gap Road,MOYSTON,AC,Jul-2018,"Ararat-Halls Gap Road, MOYSTON",21,21.0,142.7432523,-37.259597,"Ararat-Halls Gap Rd, Moyston VIC 3377, Australia",2018-August-06
Ararat-Halls Gap Road,POMONAL,ABC,Jul-2018,"Ararat-Halls Gap Road, POMONAL",22,22.0,142.6509873,-37.2160277,"Ararat-Halls Gap Rd, Pomonal VIC 3381, Australia",2018-August-06
Ararat-Mortlake Road,ARARAT,B,Jul-2018,"Ararat-Mortlake Road, ARARAT",23,23.0,142.920858,-37.315889,"Mortlake-Ararat Rd, Ararat VIC 3377, Australia",2018-August-06
Armstrong Road,WYNDHAM VALE (NWB),ABC,Jun-2018,"Armstrong Road, WYNDHAM VALE (NWB)",24,24.0,144.6082774,-37.8777243,"Armstrong Rd, Wyndham Vale VIC 3024, Australia",2018-August-06
Armstrong Street,ELLIMINYT,ABC,Apr-2018,"Armstrong Street, ELLIMINYT",25,25.0,143.5740407,-38.3520391,"Armstrong St, Colac VIC 3250, Australia",2018-August-06
Army Road,PAKENHAM,B,Jul-2018,"Army Road, PAKENHAM",26,26.0,145.4997481,-38.0483946,"Army Rd, Pakenham VIC 3810, Australia",2018-August-06
Army Road,PAKENHAM UPPER,BC,May-2018,"Army Road, PAKENHAM UPPER",27,27.0,145.4979831,-38.0359153,"Army Rd, Pakenham VIC 3810, Australia",2018-August-06
Arthur Street,ST ALBANS,C,Jul-2018,"Arthur Street, ST ALBANS",28,28.0,144.8042343,-37.7350111,"Arthur St, St Albans VIC 3021, Australia",2018-August-06
Arthurs Creek Road,ARTHURS CREEK,ABC,Jul-2018,"Arthurs Creek Road, ARTHURS CREEK",29,29.0,145.1785567,-37.5701833,"Arthurs Creek Rd, Arthurs Creek VIC 3099, Australia",2018-August-06
Arthurs Creek Road,YAN YEAN,AC,Apr-2018,"Arthurs Creek Road, YAN YEAN",30,30.0,145.1427042,-37.5712978,"Arthurs Creek Rd, Yan Yean VIC 3755, Australia",2018-August-06
Arundel Road,KEILOR,C,Jul-2018,"Arundel Road, KEILOR",31,31.0,144.8328148,-37.7033956,"Arundel Rd, Keilor VIC 3036, Australia",2018-August-06
Ascot Vale Road,ASCOT VALE,C,Dec-2017,"Ascot Vale Road, ASCOT VALE",32,32.0,144.9228725,-37.7788412,"Ascot Vale Rd, Ascot Vale VIC 3032, Australia",2018-August-06
Atkins Road,PAKENHAM,B,May-2018,"Atkins Road, PAKENHAM",33,33.0,145.4879691,-38.0697975,"Atkins Rd, Pakenham VIC 3810, Australia",2018-August-06
Avenel Road,SEYMOUR,BC,Apr-2018,"Avenel Road, SEYMOUR",34,34.0,145.1558142,-37.0041549,"Avenel Rd, Seymour VIC 3660, Australia",2018-August-06
Avondale Avenue,ST ALBANS,BC,Jul-2018,"Avondale Avenue, ST ALBANS",35,35.0,144.8151402,-37.7422799,"Avondale Ave, St Albans VIC 3021, Australia",2018-August-06
Axe Creek Road,AXE CREEK,C,May-2018,"Axe Creek Road, AXE CREEK",36,36.0,144.3860066,-36.8565865,"Axe Creek Rd, Axe Creek VIC 3551, Australia",2018-August-06
Back Beach Road,VENTNOR,A,Apr-2018,"Back Beach Road, VENTNOR",37,37.0,145.2012629,-38.4966426,"Back Beach Rd, Ventnor VIC 3922, Australia",2018-August-06
Back Eildon Road,THORNTON,C,Apr-2018,"Back Eildon Road, THORNTON",38,38.0,145.8402688,-37.2571534,"Back Eildon Rd, Thornton VIC 3712, Australia",2018-August-06
Bakers Road,NOBLE PARK NORTH,C,Apr-2018,"Bakers Road, NOBLE PARK NORTH",39,39.0,145.1974044,-37.9479735,"Bakers Rd, Dandenong North VIC 3175, Australia",2018-August-06
Balcombe Road,BEAUMARIS,ABC,Jun-2018,"Balcombe Road, BEAUMARIS",40,40.0,145.0390665,-37.9781368,"Balcombe Rd, Beaumaris VIC 3193, Australia",2018-August-06
Ballan Road,BATESFORD (WCO),ABC,Jun-2018,"Ballan Road, BATESFORD (WCO)",41,41.0,144.2415697,-37.6146129,"Ballan VIC 3342, Australia",2018-August-06
Ballan Road,WYNDHAM VALE,C,Feb-2018,"Ballan Road, WYNDHAM VALE",42,42.0,144.6052735,-37.8660417,"Ballan Rd, Wyndham Vale VIC 3024, Australia",2018-August-06
Ballan-Daylesford Road,BUNDING,ABC,Apr-2018,"Ballan-Daylesford Road, BUNDING",43,43.0,144.1786549,-37.5378954,"Ballan-Daylesford Rd, Bunding VIC 3342, Australia",2018-August-06
Ballan-Daylesford Road,KORWEINGUBOORA,ABC,Apr-2018,"Ballan-Daylesford Road, KORWEINGUBOORA",44,44.0,144.127726,-37.4441365,"Ballan-Daylesford Rd, Korweinguboora VIC 3461, Australia",2018-August-06
Ballarat Road,FOOTSCRAY,C,Feb-2018,"Ballarat Road, FOOTSCRAY",45,45.0,144.8962696,-37.7932329,"Ballarat Rd, Footscray VIC 3011, Australia",2018-August-06
Ballarat Road,HAMILTON,C,May-2018,"Ballarat Road, HAMILTON",46,46.0,142.0488238,-37.7435628,"Ballarat Rd, Hamilton VIC 3300, Australia",2018-August-06
Ballarat Road,RAVENHALL,BC,Apr-2018,"Ballarat Road, RAVENHALL",47,47.0,144.7422617,-37.757231,"Ballarat Rd, Ravenhall VIC 3023, Australia",2018-August-06
Ballarto Road,CARDINIA,BC,May-2018,"Ballarto Road, CARDINIA",48,48.0,145.4218,-38.1457689,"Ballarto Rd, Cardinia VIC 3978, Australia",2018-August-06
Ballarto Road,CARRUM DOWNS,C,May-2018,"Ballarto Road, CARRUM DOWNS",49,49.0,145.1804843,-38.1155169,"Ballarto Rd, Carrum Downs VIC 3201, Australia",2018-August-06
Ballarto Road,CLYDE,B,Feb-2018,"Ballarto Road, CLYDE",50,50.0,145.3537207,-38.1371224,"Ballarto Rd, Clyde VIC 3978, Australia",2018-August-06
Ballarto Road,SKYE,ABC,May-2018,"Ballarto Road, SKYE",51,51.0,145.2122706,-38.1194414,"Ballarto Rd, Skye VIC 3977, Australia",2018-August-06
Balwyn Road,BALWYN,C,Apr-2018,"Balwyn Road, BALWYN",52,52.0,145.0819831,-37.8095316,"Balwyn Rd, Balwyn VIC 3103, Australia",2018-August-06
Bank Street,AVENEL,C,Apr-2018,"Bank Street, AVENEL",53,53.0,145.225074,-36.8894106,"Bank St, Avenel VIC 3664, Australia",2018-August-06
Banksia Street,HEIDELBERG HEIGHTS,BC,Apr-2018,"Banksia Street, HEIDELBERG HEIGHTS",54,54.0,145.0506788,-37.7577026,"Banksia St, Heidelberg Heights VIC 3081, Australia",2018-August-06
Bannons Lane,YARRAMBAT,ABC,Jul-2018,"Bannons Lane, YARRAMBAT",55,55.0,145.1506328,-37.6285637999999,"Bannons Ln, Yarrambat VIC 3091, Australia",2018-August-06
Banyule Road,VIEWBANK,BC,Apr-2018,"Banyule Road, VIEWBANK",56,56.0,145.0961005,-37.7414181,"Banyule Rd, Viewbank VIC 3084, Australia",2018-August-06
Barkly Street,WEST FOOTSCRAY,C,Feb-2018,"Barkly Street, WEST FOOTSCRAY",57,57.0,144.8747065,-37.7971173,"Barkly St, West Footscray VIC 3012, Australia",2018-August-06
Barkly Street West,ARARAT,B,Jul-2018,"Barkly Street West, ARARAT",58,58.0,142.9170398,-37.2875056,"Barkly St W, Ararat VIC 3377, Australia",2018-August-06
Barmah-Shepparton Road,BUNBARTHA,C,Apr-2018,"Barmah-Shepparton Road, BUNBARTHA",59,59.0,145.353837,-36.2512068,"Barmah-Shepparton Rd, Bunbartha VIC 3634, Australia",2018-August-06
Barmah-Shepparton Road,ZEERUST,AC,Apr-2018,"Barmah-Shepparton Road, ZEERUST",60,60.0,145.3752195,-36.2886852,"Barmah-Shepparton Rd, Zeerust VIC 3634, Australia",2018-August-06
Barnes Boulevard,HORSHAM,C,Jul-2018,"Barnes Boulevard, HORSHAM",61,61.0,142.1822115,-36.7267663,"Barnes Blvd, Horsham VIC 3400, Australia",2018-August-06
Barrabool Road,CERES,BC,Apr-2018,"Barrabool Road, CERES",62,62.0,144.2718603,-38.1710214999999,"Barrabool Rd, Ceres VIC 3221, Australia",2018-August-06
Barrabool Road,HIGHTON,BC,Apr-2018,"Barrabool Road, HIGHTON",63,63.0,144.3101782,-38.1692794,"Barrabool Rd, Highton VIC 3216, Australia",2018-August-06
Barrands Lane,DRYSDALE,BC,Apr-2018,"Barrands Lane, DRYSDALE",64,64.0,144.5674908,-38.1670618,"Barrands Ln, Victoria 3222, Australia",2018-August-06
Barries Road,MELTON,C,Jul-2018,"Barries Road, MELTON",65,65.0,144.5712865,-37.6880287,"Barries Rd, Melton VIC 3337, Australia",2018-August-06
Barry Road,COOLAROO,ABC,Dec-2017,"Barry Road, COOLAROO",66,66.0,144.9340813,-37.6651495,"Barry Rd, Coolaroo VIC 3048, Australia",2018-August-06
Barry Street,ROMSEY,C,Apr-2018,"Barry Street, ROMSEY",67,67.0,144.7432066,-37.3506929,"Barry St, Romsey VIC 3434, Australia",2018-August-06
Barrymore Road,GREENVALE,C,Dec-2017,"Barrymore Road, GREENVALE",68,68.0,144.8900514,-37.6517551,"Barrymore Rd, Greenvale VIC 3059, Australia",2018-August-06
Barwon Heads Road,CONNEWARRE,ABC,Apr-2018,"Barwon Heads Road, CONNEWARRE",69,69.0,144.424476,-38.2593972,"Barwon Heads Rd, Connewarre VIC 3227, Australia",2018-August-06
Barwon Terrace,WINCHELSEA,BC,Apr-2018,"Barwon Terrace, WINCHELSEA",70,70.0,143.9979937,-38.2479123,"Barwon Terrace, Winchelsea VIC 3241, Australia",2018-August-06
Bass Highway,DALYSTON,C,Apr-2018,"Bass Highway, DALYSTON",71,71.0,145.5416405,-38.5639717,"Bass Hwy, Dalyston VIC 3992, Australia",2018-August-06
Bass Highway,INVERLOCH,C,Apr-2018,"Bass Highway, INVERLOCH",72,72.0,145.7477128,-38.6135798,"Bass Hwy, Inverloch VIC 3996, Australia",2018-August-06
Bass Highway,LANG LANG SOUTH,AC,Apr-2018,"Bass Highway, LANG LANG SOUTH",73,73.0,145.546076,-38.3271139,"Bass Hwy, Lang Lang VIC 3984, Australia",2018-August-06
Bass Highway,LEONGATHA SOUTH,C,Apr-2018,"Bass Highway, LEONGATHA SOUTH",74,74.0,145.8580322,-38.5425889,"Bass Hwy, Leongatha South VIC 3953, Australia",2018-August-06
Bass Highway,THE GURDIES,C,Apr-2018,"Bass Highway, THE GURDIES",75,75.0,145.5546053,-38.3802832999999,"Bass Hwy, The Gurdies VIC 3984, Australia",2018-August-06
Bass Highway,WONTHAGGI,C,Apr-2018,"Bass Highway, WONTHAGGI",76,76.0,145.6191036,-38.6087211,"Bass Hwy, Wonthaggi VIC 3995, Australia",2018-August-06
Baxter-Tooradin Road,BAXTER,ABC,May-2018,"Baxter-Tooradin Road, BAXTER",77,77.0,145.1716402,-38.1975168,"Baxter-Tooradin Rd, Baxter VIC 3911, Australia",2018-August-06
Baxter-Tooradin Road,DEVON MEADOWS,BC,Jul-2018,"Baxter-Tooradin Road, DEVON MEADOWS",78,78.0,145.3147162,-38.197728,"Baxter-Tooradin Rd, Devon Meadows VIC 3977, Australia",2018-August-06
Baxter-Tooradin Road,PEARCEDALE,B,Jul-2018,"Baxter-Tooradin Road, PEARCEDALE",79,79.0,145.2406288,-38.2035704,"Baxter-Tooradin Rd, Pearcedale VIC 3912, Australia",2018-August-06
Bay Road,HIGHETT,AC,Jun-2018,"Bay Road, HIGHETT",80,80.0,145.0364808,-37.9556021,"Bay Rd, Highett VIC 3190, Australia",2018-August-06
Bayswater Road,CROYDON,B,Feb-2018,"Bayswater Road, CROYDON",81,81.0,145.2710134,-37.8075147,"Bayswater Rd, Croydon VIC 3136, Australia",2018-August-06
Bayview Road,ROSEBUD,C,May-2018,"Bayview Road, ROSEBUD",82,82.0,144.9223154,-38.3596352,"Bayview Rd, Rosebud VIC 3939, Australia",2018-August-06
Beach  Road,BLACK ROCK (SBY),B,Mar-2018,"Beach  Road, BLACK ROCK (SBY)",83,83.0,145.0156913,-37.9750332,"Beach Rd, Black Rock VIC 3193, Australia",2018-August-06
Beach Road,BEAUMARIS,ABC,Jun-2018,"Beach Road, BEAUMARIS",84,84.0,145.0426738,-37.9908708,"Beach Rd, Beaumaris VIC 3193, Australia",2018-August-06
Beach Road,BLACK ROCK,C,Feb-2018,"Beach Road, BLACK ROCK",85,85.0,145.0156913,-37.9750332,"Beach Rd, Black Rock VIC 3193, Australia",2018-August-06
Beach Road,MORDIALLOC,C,Jun-2018,"Beach Road, MORDIALLOC",86,86.0,145.0830976,-38.0063638,"Beach Rd, Mordialloc VIC 3195, Australia",2018-August-06
Beach Road,PARKDALE,BC,Jun-2018,"Beach Road, PARKDALE",87,87.0,145.075418,-37.9996245,"Beach Rd, Parkdale VIC 3195, Australia",2018-August-06
Beach Street,FRANKSTON,B,May-2018,"Beach Street, FRANKSTON",88,88.0,145.1335588,-38.143245,"Beach St, Frankston VIC 3199, Australia",2018-August-06
Beacon Point Road,CLIFTON SPRINGS,C,Apr-2018,"Beacon Point Road, CLIFTON SPRINGS",89,89.0,144.5751777,-38.1504455,"Beacon Point Rd, Clifton Springs VIC 3222, Australia",2018-August-06
Beaconsfield Parade,MIDDLE PARK,C,Jul-2018,"Beaconsfield Parade, MIDDLE PARK",90,90.0,144.9613079,-37.8540354,"Beaconsfield Parade, Middle Park VIC 3206, Australia",2018-August-06
Beaconsfield-Emerald Road,BEACONSFIELD,ABC,May-2018,"Beaconsfield-Emerald Road, BEACONSFIELD",91,91.0,145.3781534,-38.0284729,"Beaconsfield-Emerald Rd, Beaconsfield VIC 3807, Australia",2018-August-06
Beaconsfield-Emerald Road,DEWHURST,B,May-2018,"Beaconsfield-Emerald Road, DEWHURST",92,92.0,145.4545393,-37.9791365,"Beaconsfield-Emerald Rd, Dewhurst VIC 3808, Australia",2018-August-06
Beaufort-Skipton Road,LAKE GOLDSMITH,C,Jul-2018,"Beaufort-Skipton Road, LAKE GOLDSMITH",93,93.0,143.3714708,-37.530856,"Skipton Rd, Lake Goldsmith VIC 3373, Australia",2018-August-06
Beechworth-Wodonga Road,LENEVA,BC,Apr-2018,"Beechworth-Wodonga Road, LENEVA",94,94.0,146.8613661,-36.2235641,"Beechworth-Wodonga Rd, Leneva VIC 3691, Australia",2018-August-06
Beechworth-Wodonga Road,WOORAGEE,C,Apr-2018,"Beechworth-Wodonga Road, WOORAGEE",95,95.0,146.7558221,-36.289567,"Beechworth-Wodonga Rd, Wooragee VIC 3747, Australia",2018-August-06
Belgrave-Hallam Road,NARRE WARREN EAST,AC,Mar-2018,"Belgrave-Hallam Road, NARRE WARREN EAST",96,96.0,145.3366597,-37.9641651,"Belgrave-Hallam Rd, Narre Warren East VIC 3804, Australia",2018-August-06
Belgrave-Hallam Road,NARRE WARREN NORTH,BC,Jul-2018,"Belgrave-Hallam Road, NARRE WARREN NORTH",97,97.0,145.310368,-37.9810147,"Belgrave-Hallam Rd, Narre Warren North VIC 3804, Australia",2018-August-06
Bell Street,COBURG,C,Dec-2017,"Bell Street, COBURG",98,98.0,144.9647625,-37.7411481,"Bell St, Coburg VIC 3058, Australia",2018-August-06
Bell Street,PRESTON,B,Apr-2018,"Bell Street, PRESTON",99,99.0,145.0093354,-37.7458745,"Bell St, Preston VIC 3072, Australia",2018-August-06
Bellarine Highway,LEOPOLD (WBR),BC,Mar-2018,"Bellarine Highway, LEOPOLD (WBR)",100,100.0,144.453829,-38.186083,"621/659 Bellarine Hwy, Leopold VIC 3224, Australia",2018-August-06
Bellarine Highway,MOOLAP,B,Apr-2018,"Bellarine Highway, MOOLAP",101,101.0,144.4255154,-38.1798002,"Bellarine Hwy, Moolap VIC 3224, Australia",2018-August-06
Bellarine Highway,POINT LONSDALE,ABC,Apr-2018,"Bellarine Highway, POINT LONSDALE",102,102.0,144.6034827,-38.258157,"Bellarine Hwy, Point Lonsdale VIC 3225, Australia",2018-August-06
Bellarine Highway,WALLINGTON (WBR),B,Mar-2018,"Bellarine Highway, WALLINGTON (WBR)",103,103.0,144.5150057,-38.209792,"1249 Bellarine Hwy, Wallington VIC 3222, Australia",2018-August-06
Bellbridge Drive,HOPPERS CROSSING,ABC,Feb-2018,"Bellbridge Drive, HOPPERS CROSSING",104,104.0,144.7104498,-37.8684,"Bellbridge Dr, Hoppers Crossing VIC 3029, Australia",2018-August-06
Belmore Road,BALWYN,B,Apr-2018,"Belmore Road, BALWYN",105,105.0,145.0838178,-37.803579,"Belmore Rd, Balwyn VIC 3103, Australia",2018-August-06
Belmore Road,BOX HILL NORTH,ABC,May-2018,"Belmore Road, BOX HILL NORTH",106,106.0,145.0893865,-37.804314,"Belmore Rd, Victoria, Australia",2018-August-06
Benalla-Winton Road,BENALLA,B,Apr-2018,"Benalla-Winton Road, BENALLA",107,107.0,146.0619056,-36.5221802,"Benalla-Winton Rd, Winton VIC 3673, Australia",2018-August-06
Benalla-Yarrawonga Road,DEVENISH,ABC,Apr-2018,"Benalla-Yarrawonga Road, DEVENISH",108,108.0,145.9590489,-36.3422399,"Benalla-Yarrawonga Rd, Devenish VIC 3726, Australia",2018-August-06
Benalla-Yarrawonga Road,GOORAMBAT,C,Apr-2018,"Benalla-Yarrawonga Road, GOORAMBAT",109,109.0,145.9838217,-36.4143696,"Benalla-Yarrawonga Rd, Goorambat VIC 3725, Australia",2018-August-06
Bendigo-Maldon Road,MALDON,ABC,May-2018,"Bendigo-Maldon Road, MALDON",110,110.0,144.0706915,-36.9948942,"Bendigo-Maldon Rd, Maldon VIC 3463, Australia",2018-August-06
Bendigo-Maryborough Road,HAVELOCK,ABC,May-2018,"Bendigo-Maryborough Road, HAVELOCK",111,111.0,143.7892967,-36.9444953,"Bendigo-Maryborough Rd, Havelock VIC 3465, Australia",2018-August-06
Bendigo-Maryborough Road,LOCKWOOD,C,May-2018,"Bendigo-Maryborough Road, LOCKWOOD",112,112.0,144.136266,-36.8117539,"Bendigo-Maryborough Rd, Lockwood VIC 3551, Australia",2018-August-06
Bendigo-Maryborough Road,SHELBOURNE,C,May-2018,"Bendigo-Maryborough Road, SHELBOURNE",113,113.0,144.0559093,-36.8341152,"Bendigo-Maryborough Rd, Shelbourne VIC 3515, Australia",2018-August-06
Bendigo-Murchison Road,MURCHISON,B,Apr-2018,"Bendigo-Murchison Road, MURCHISON",114,114.0,145.1689063,-36.6068165999999,"Bendigo-Murchison Rd, Murchison VIC 3610, Australia",2018-August-06
Bendigo-Murchison Road,WANALTA,AC,Apr-2018,"Bendigo-Murchison Road, WANALTA",115,115.0,144.9019399,-36.5964095,"Bendigo-Murchison Rd, Wanalta VIC 3612, Australia",2018-August-06
Bendigo-Pyramid Hill  Road,WOODVALE (WBI),BC,Jun-2018,"Bendigo-Pyramid Hill  Road, WOODVALE (WBI)",116,116.0,144.215395,-36.6629106,"Bendigo-Pyramid Rd, Woodvale VIC 3556, Australia",2018-August-06
Bendigo-Pyramid Hill Road,RAYWOOD (WRA),C,Jun-2018,"Bendigo-Pyramid Hill Road, RAYWOOD (WRA)",117,117.0,144.2162815,-36.5174512,"Bendigo-Pyramid Rd, Raywood VIC 3570, Australia",2018-August-06
Bendigo-Redesdale Road,STRATHFIELDSAYE,AC,May-2018,"Bendigo-Redesdale Road, STRATHFIELDSAYE",118,118.0,144.2793906,-36.7570157,"Bendigo VIC 3550, Australia",2018-August-06
Benetook Avenue,KOORLONG,A,Jun-2018,"Benetook Avenue, KOORLONG",119,119.0,142.0793126,-34.314245,"Benetook Ave, Koorlong VIC 3501, Australia",2018-August-06
Benetook Avenue,MILDURA SOUTH,C,Jun-2018,"Benetook Avenue, MILDURA SOUTH",120,120.0,142.1403635,-34.2280794,"Benetook Ave, Mildura VIC 3500, Australia",2018-August-06
Bengworden Road,BENGWORDEN,C,Apr-2018,"Bengworden Road, BENGWORDEN",121,121.0,147.4442725,-37.9755721999999,"Bengworden Rd, Bengworden VIC 3875, Australia",2018-August-06
Bengworden Road,CLYDEBANK,ABC,Apr-2018,"Bengworden Road, CLYDEBANK",122,122.0,147.1534973,-38.0478637,"Bengworden Rd, Clydebank VIC 3851, Australia",2018-August-06
Bengworden Road,COBAINS,C,Apr-2018,"Bengworden Road, COBAINS",123,123.0,147.1086275,-38.072344,"Bengworden Rd, Cobains VIC 3851, Australia",2018-August-06
Bengworden Road,PERRY BRIDGE,C,Apr-2018,"Bengworden Road, PERRY BRIDGE",124,124.0,147.2639353,-38.0048329,"Bengworden Rd, Perry Bridge VIC 3862, Australia",2018-August-06
Bennett Road,HORSHAM,C,Jul-2018,"Bennett Road, HORSHAM",125,125.0,142.1871824,-36.7185852,"Bennett Rd, Horsham VIC 3400, Australia",2018-August-06
Beresford Drive,BORONIA,BC,Feb-2018,"Beresford Drive, BORONIA",126,126.0,145.3033684,-37.8437333,"Beresford Dr, Boronia VIC 3155, Australia",2018-August-06
Bergins Road,ROWVILLE,ABC,Jan-2018,"Bergins Road, ROWVILLE",127,127.0,145.2392872,-37.9366511,"Bergins Rd, Rowville VIC 3178, Australia",2018-August-06
Berrabri Drive,SCORESBY,BC,Feb-2018,"Berrabri Drive, SCORESBY",128,128.0,145.2221167,-37.8916513,"Berrabri Dr, Scoresby VIC 3179, Australia",2018-August-06
Berwick-Cranbourne Road,CRANBOURNE NORTH,BC,Jul-2018,"Berwick-Cranbourne Road, CRANBOURNE NORTH",129,129.0,145.3342284,-38.0818505,"Berwick-Cranbourne Rd, Cranbourne North VIC 3977, Australia",2018-August-06
Bible Street,ELTHAM,AC,Apr-2018,"Bible Street, ELTHAM",130,130.0,145.1512628,-37.7177563,"Bible St, Eltham VIC 3095, Australia",2018-August-06
Biggs Street,ST ALBANS,BC,Jul-2018,"Biggs Street, ST ALBANS",131,131.0,144.8097969,-37.7378871,"Biggs St, St Albans VIC 3021, Australia",2018-August-06
Birchip-Wycheproof Road,BIRCHIP,C,Apr-2018,"Birchip-Wycheproof Road, BIRCHIP",132,132.0,142.958214,-35.9897849,"Birchip-Wycheproof Rd, Birchip VIC 3483, Australia",2018-August-06
Birregurra Forrest  Road,BARWON DOWNS,AC,Mar-2018,"Birregurra Forrest  Road, BARWON DOWNS",133,133.0,143.7582007,-38.4685671,"Birregurra-Forrest Rd, Barwon Downs VIC 3243, Australia",2018-August-06
Birregurra Forrest Road,MURROON,AC,Apr-2018,"Birregurra Forrest Road, MURROON",134,134.0,143.7767553,-38.4262193,"Birregurra-Forrest Rd, Murroon VIC 3243, Australia",2018-August-06
Black Flat Road,WHITTLESEA,C,Apr-2018,"Black Flat Road, WHITTLESEA",135,135.0,145.1153234,-37.5055815,"Black Flat Rd, Whittlesea VIC 3757, Australia",2018-August-06
Black Forest Road,WERRIBEE,C,Feb-2018,"Black Forest Road, WERRIBEE",136,136.0,144.616386,-37.900316,"Black Forest Rd, Victoria, Australia",2018-August-06
Black Forest Road,WYNDHAM VALE,C,Feb-2018,"Black Forest Road, WYNDHAM VALE",137,137.0,144.6146214,-37.9001059,"Black Forest Rd, Wyndham Vale VIC 3024, Australia",2018-August-06
Blackburn Road,DONCASTER EAST,C,May-2018,"Blackburn Road, DONCASTER EAST",138,138.0,145.1644427,-37.775234,"Blackburn Rd, Doncaster East VIC 3109, Australia",2018-August-06
Blackburn Road,GLEN WAVERLEY,C,May-2018,"Blackburn Road, GLEN WAVERLEY",139,139.0,145.1465706,-37.8818367,"Blackburn Rd, Glen Waverley VIC 3150, Australia",2018-August-06
Blackburn Road,MOUNT WAVERLEY,C,May-2018,"Blackburn Road, MOUNT WAVERLEY",140,140.0,145.1470342,-37.8793991,"Blackburn Rd, Mount Waverley VIC 3149, Australia",2018-August-06
