ROW_INDEX,LOCATION,SUBURB,Reason Code,Audit Date,full_location
357,Derby Street,PASCOE VALE,C,Dec-2017,"Derby Street, PASCOE VALE, VICTORIA, AUSTRALIA"
358,Derrimut Road,HOPPERS CROSSING,C,Feb-2018,"Derrimut Road, HOPPERS CROSSING, VICTORIA, AUSTRALIA"
359,Derrimut Road,TRUGANINA,C,Feb-2018,"Derrimut Road, TRUGANINA, VICTORIA, AUSTRALIA"
360,Devenish Road,BORONIA,BC,Jan-2018,"Devenish Road, BORONIA, VICTORIA, AUSTRALIA"
361,Devon Road,PASCOE VALE,C,Dec-2017,"Devon Road, PASCOE VALE, VICTORIA, AUSTRALIA"
362,Diamond Creek Road,GREENSBOROUGH,ABC,Apr-2018,"Diamond Creek Road, GREENSBOROUGH, VICTORIA, AUSTRALIA"
363,Diggers Rest-Coimadai Road,TOOLERN VALE,BC,Jul-2018,"Diggers Rest-Coimadai Road, TOOLERN VALE, VICTORIA, AUSTRALIA"
364,Dinah Parade,KEILOR EAST,C,Dec-2017,"Dinah Parade, KEILOR EAST, VICTORIA, AUSTRALIA"
365,Dingley Bypass,HEATHERTON,AC,Jun-2018,"Dingley Bypass, HEATHERTON, VICTORIA, AUSTRALIA"
366,Doctors Gully Road,DOREEN,AC,Jul-2018,"Doctors Gully Road, DOREEN, VICTORIA, AUSTRALIA"
367,Don Road,BADGER CREEK,AC,Mar-2018,"Don Road, BADGER CREEK, VICTORIA, AUSTRALIA"
368,Donald Cameron Drive,ROXBURGH PARK,C,Dec-2017,"Donald Cameron Drive, ROXBURGH PARK, VICTORIA, AUSTRALIA"
369,Donald-Swan Hill Road,KALPIENUNG,C,Apr-2018,"Donald-Swan Hill Road, KALPIENUNG, VICTORIA, AUSTRALIA"
370,Donald-Swan Hill Road,LALBERT,C,Apr-2018,"Donald-Swan Hill Road, LALBERT, VICTORIA, AUSTRALIA"
371,Donald-Swan Hill Road,SWAN HILL,C,Apr-2018,"Donald-Swan Hill Road, SWAN HILL, VICTORIA, AUSTRALIA"
372,Donnybrook Road,MICKLEHAM,ABC,Dec-2017,"Donnybrook Road, MICKLEHAM, VICTORIA, AUSTRALIA"
373,Donnybrook Road,YAN YEAN,C,Oct-2017,"Donnybrook Road, YAN YEAN, VICTORIA, AUSTRALIA"
374,Dooen Road,HORSHAM,C,Jul-2018,"Dooen Road, HORSHAM, VICTORIA, AUSTRALIA"
375,Dorset Road,BORONIA,C,Jan-2018,"Dorset Road, BORONIA, VICTORIA, AUSTRALIA"
376,Dorset Road,CROYDON,ABC,Feb-2018,"Dorset Road, CROYDON, VICTORIA, AUSTRALIA"
377,Douglas Parade,NEWPORT,C,Feb-2018,"Douglas Parade, NEWPORT, VICTORIA, AUSTRALIA"
378,Doveton Street North,INVERMAY PARK,BC,Jul-2018,"Doveton Street North, INVERMAY PARK, VICTORIA, AUSTRALIA"
379,Downes Road,CASTLEMAINE,C,May-2018,"Downes Road, CASTLEMAINE, VICTORIA, AUSTRALIA"
380,Driscolls Road,KEALBA,BC,Jul-2018,"Driscolls Road, KEALBA, VICTORIA, AUSTRALIA"
381,Drummond Street South,BALLARAT,C,Jul-2018,"Drummond Street South, BALLARAT, VICTORIA, AUSTRALIA"
382,Drysdale-Ocean Grove Road,WALLINGTON,BC,Apr-2018,"Drysdale-Ocean Grove Road, WALLINGTON, VICTORIA, AUSTRALIA"
383,Duff Street,CRANBOURNE WEST,B,Jul-2018,"Duff Street, CRANBOURNE WEST, VICTORIA, AUSTRALIA"
384,Duke Street,SUNSHINE,C,Jul-2018,"Duke Street, SUNSHINE, VICTORIA, AUSTRALIA"
385,Dunblane Road,NOBLE PARK,BC,Apr-2018,"Dunblane Road, NOBLE PARK, VICTORIA, AUSTRALIA"
386,Duncan Drive,PAKENHAM,BC,May-2018,"Duncan Drive, PAKENHAM, VICTORIA, AUSTRALIA"
387,Duncans Road,WERRIBEE,C,Feb-2018,"Duncans Road, WERRIBEE, VICTORIA, AUSTRALIA"
388,Dundas Street,RYE,C,May-2018,"Dundas Street, RYE, VICTORIA, AUSTRALIA"
389,Dunkeld-Cavendish Road,MOUTAJUP,AC,May-2018,"Dunkeld-Cavendish Road, MOUTAJUP, VICTORIA, AUSTRALIA"
390,Dunns Creek Road,DROMANA,ABC,May-2018,"Dunns Creek Road, DROMANA, VICTORIA, AUSTRALIA"
391,Dunns Creek Road,RED HILL,ABC,May-2018,"Dunns Creek Road, RED HILL, VICTORIA, AUSTRALIA"
392,Dunns Road,MOUNT MARTHA,BC,May-2018,"Dunns Road, MOUNT MARTHA, VICTORIA, AUSTRALIA"
393,Durham Road,KILSYTH,AC,Mar-2018,"Durham Road, KILSYTH, VICTORIA, AUSTRALIA"
394,East Boundary Road,BENTLEIGH EAST,C,Jan-2018,"East Boundary Road, BENTLEIGH EAST, VICTORIA, AUSTRALIA"
395,East Esplanade,ST ALBANS,C,Jul-2018,"East Esplanade, ST ALBANS, VICTORIA, AUSTRALIA"
396,East Street,HADFIELD,BC,Dec-2017,"East Street, HADFIELD, VICTORIA, AUSTRALIA"
397,Echuca-Kyabram Road,ECHUCA,BC,Apr-2018,"Echuca-Kyabram Road, ECHUCA, VICTORIA, AUSTRALIA"
398,Echuca-Mooroopna Road,MOOROOPNA NORTH,BC,Apr-2018,"Echuca-Mooroopna Road, MOOROOPNA NORTH, VICTORIA, AUSTRALIA"
399,Echuca-Mooroopna Road,ST GERMAINS,C,Apr-2018,"Echuca-Mooroopna Road, ST GERMAINS, VICTORIA, AUSTRALIA"
400,Echuca-Mooroopna Road,UNDERA,BC,Apr-2018,"Echuca-Mooroopna Road, UNDERA, VICTORIA, AUSTRALIA"
401,Edgar Street,PORTLAND,C,May-2018,"Edgar Street, PORTLAND, VICTORIA, AUSTRALIA"
402,Edgars Road,EPPING,C,Apr-2018,"Edgars Road, EPPING, VICTORIA, AUSTRALIA"
403,Edgars Road,EPPING (NEP),BC,Jul-2018,"Edgars Road, EPPING (NEP), VICTORIA, AUSTRALIA"
404,Edgecombe Road,KYNETON,AC,Apr-2018,"Edgecombe Road, KYNETON, VICTORIA, AUSTRALIA"
405,Edithvale Road,CHELSEA HEIGHTS,AC,Jun-2018,"Edithvale Road, CHELSEA HEIGHTS, VICTORIA, AUSTRALIA"
406,Edward Road,CHIRNSIDE PARK,ABC,Mar-2018,"Edward Road, CHIRNSIDE PARK, VICTORIA, AUSTRALIA"
407,Edwards Road,MAIDEN GULLY,BC,May-2018,"Edwards Road, MAIDEN GULLY, VICTORIA, AUSTRALIA"
408,Eighth Street,MILDURA,C,Jun-2018,"Eighth Street, MILDURA, VICTORIA, AUSTRALIA"
409,Eildon Parade,ROWVILLE,C,Jan-2018,"Eildon Parade, ROWVILLE, VICTORIA, AUSTRALIA"
410,Eildon-Jamieson Road,EILDON,AC,Apr-2018,"Eildon-Jamieson Road, EILDON, VICTORIA, AUSTRALIA"
411,Eildon-Jamieson Road,JAMIESON,ABC,Apr-2018,"Eildon-Jamieson Road, JAMIESON, VICTORIA, AUSTRALIA"
412,Elcho Road,LARA,BC,Apr-2018,"Elcho Road, LARA, VICTORIA, AUSTRALIA"
413,Elder Street,WATSONIA,BC,Jul-2018,"Elder Street, WATSONIA, VICTORIA, AUSTRALIA"
414,Eleventh Street,IRYMPLE,C,Jun-2018,"Eleventh Street, IRYMPLE, VICTORIA, AUSTRALIA"
415,Eleventh Street,MILDURA,ABC,Jun-2018,"Eleventh Street, MILDURA, VICTORIA, AUSTRALIA"
416,Elgar Road,BOX HILL SOUTH,C,May-2018,"Elgar Road, BOX HILL SOUTH, VICTORIA, AUSTRALIA"
417,Elgar Road,BURWOOD,C,May-2018,"Elgar Road, BURWOOD, VICTORIA, AUSTRALIA"
418,Elizabeth Drive,SUNBURY,BC,Dec-2017,"Elizabeth Drive, SUNBURY, VICTORIA, AUSTRALIA"
419,Elizabeth Street,ARARAT,BC,Jul-2018,"Elizabeth Street, ARARAT, VICTORIA, AUSTRALIA"
420,Elizabeth Street,COBURG,ABC,Apr-2018,"Elizabeth Street, COBURG, VICTORIA, AUSTRALIA"
421,Elizabeth Street,EDENHOPE,C,Jul-2018,"Elizabeth Street, EDENHOPE, VICTORIA, AUSTRALIA"
422,Eltham-Yarra Glen Road,CHRISTMAS HILLS,AC,Apr-2018,"Eltham-Yarra Glen Road, CHRISTMAS HILLS, VICTORIA, AUSTRALIA"
423,Eltham-Yarra Glen Road,KANGAROO GROUND,AC,Apr-2018,"Eltham-Yarra Glen Road, KANGAROO GROUND, VICTORIA, AUSTRALIA"
424,Eltham-Yarra Glen Road,WATSONS CREEK,B,Apr-2018,"Eltham-Yarra Glen Road, WATSONS CREEK, VICTORIA, AUSTRALIA"
425,Emu Creek Road,STRATHFIELDSAYE,AC,May-2018,"Emu Creek Road, STRATHFIELDSAYE, VICTORIA, AUSTRALIA"
426,Emu Road,MAIDSTONE,BC,Feb-2018,"Emu Road, MAIDSTONE, VICTORIA, AUSTRALIA"
427,Epping Road,WOLLERT,BC,Apr-2018,"Epping Road, WOLLERT, VICTORIA, AUSTRALIA"
428,Epping Road,WOODSTOCK,C,Apr-2018,"Epping Road, WOODSTOCK, VICTORIA, AUSTRALIA"
429,Epsom Road,ASCOT VALE,C,Dec-2017,"Epsom Road, ASCOT VALE, VICTORIA, AUSTRALIA"
430,Epsom-Barnadown Road,ASCOT,BC,May-2018,"Epsom-Barnadown Road, ASCOT, VICTORIA, AUSTRALIA"
431,Ernst Wanke Road,BERWICK,B,Jul-2018,"Ernst Wanke Road, BERWICK, VICTORIA, AUSTRALIA"
432,Erskine Road,MACLEOD,AC,Apr-2018,"Erskine Road, MACLEOD, VICTORIA, AUSTRALIA"
433,Esplanade,ALTONA,B,Feb-2018,"Esplanade, ALTONA, VICTORIA, AUSTRALIA"
434,Essex Street,WEST FOOTSCRAY,C,Feb-2018,"Essex Street, WEST FOOTSCRAY, VICTORIA, AUSTRALIA"
435,Etiwanda Avenue,MILDURA,BC,Jun-2018,"Etiwanda Avenue, MILDURA, VICTORIA, AUSTRALIA"
436,Eureka Street,BALLARAT EAST,ABC,Jul-2018,"Eureka Street, BALLARAT EAST, VICTORIA, AUSTRALIA"
437,Euroa-Mansfield Road,EUROA,ABC,Apr-2018,"Euroa-Mansfield Road, EUROA, VICTORIA, AUSTRALIA"
438,Euroa-Mansfield Road,GOORAM,ABC,Apr-2018,"Euroa-Mansfield Road, GOORAM, VICTORIA, AUSTRALIA"
439,Euroa-Shepparton Road,EUROA,C,Apr-2018,"Euroa-Shepparton Road, EUROA, VICTORIA, AUSTRALIA"
440,Euroa-Shepparton Road,KARRAMOMUS,ABC,Apr-2018,"Euroa-Shepparton Road, KARRAMOMUS, VICTORIA, AUSTRALIA"
441,Evans Road,CRANBOURNE WEST,B,Jul-2018,"Evans Road, CRANBOURNE WEST, VICTORIA, AUSTRALIA"
442,Exford Road,EXFORD,C,Apr-2018,"Exford Road, EXFORD, VICTORIA, AUSTRALIA"
443,Exford Road,MELTON SOUTH,C,Apr-2018,"Exford Road, MELTON SOUTH, VICTORIA, AUSTRALIA"
444,Eynesbury Road,EYNESBURY,BC,Jul-2018,"Eynesbury Road, EYNESBURY, VICTORIA, AUSTRALIA"
445,Eyre Street,ECHUCA,C,Apr-2018,"Eyre Street, ECHUCA, VICTORIA, AUSTRALIA"
446,Falls Road,MARYSVILLE,B,Apr-2018,"Falls Road, MARYSVILLE, VICTORIA, AUSTRALIA"
447,Federation Way,BOWSER,ABC,Apr-2018,"Federation Way, BOWSER, VICTORIA, AUSTRALIA"
448,Felltimber Creek Road,WODONGA,BC,Apr-2018,"Felltimber Creek Road, WODONGA, VICTORIA, AUSTRALIA"
449,Ferris Road,MELTON SOUTH,C,Apr-2018,"Ferris Road, MELTON SOUTH, VICTORIA, AUSTRALIA"
450,Field Street,RYE,C,May-2018,"Field Street, RYE, VICTORIA, AUSTRALIA"
451,Fifteenth Street,IRYMPLE,C,Jun-2018,"Fifteenth Street, IRYMPLE, VICTORIA, AUSTRALIA"
452,Findon Road,EPPING,BC,Apr-2018,"Findon Road, EPPING, VICTORIA, AUSTRALIA"
453,Findon Road,SOUTH MORANG,BC,Apr-2018,"Findon Road, SOUTH MORANG, VICTORIA, AUSTRALIA"
454,Finlay Road,TONGALA,C,Apr-2018,"Finlay Road, TONGALA, VICTORIA, AUSTRALIA"
455,Finlayson Street,ROSANNA,B,Apr-2018,"Finlayson Street, ROSANNA, VICTORIA, AUSTRALIA"
456,Fisheries Road,DEVON MEADOWS,B,Jul-2018,"Fisheries Road, DEVON MEADOWS, VICTORIA, AUSTRALIA"
457,Fitzgerald Street,PORTLAND,C,May-2018,"Fitzgerald Street, PORTLAND, VICTORIA, AUSTRALIA"
458,Flower Street,FERNTREE GULLY,BC,Jan-2018,"Flower Street, FERNTREE GULLY, VICTORIA, AUSTRALIA"
459,Ford Road,SHEPPARTON,BC,Apr-2018,"Ford Road, SHEPPARTON, VICTORIA, AUSTRALIA"
460,Forrest Street,ALBION,BC,Jul-2018,"Forrest Street, ALBION, VICTORIA, AUSTRALIA"
461,Forrest Street,ARDEER,BC,Jul-2018,"Forrest Street, ARDEER, VICTORIA, AUSTRALIA"
462,Foster Street,SALE,C,Apr-2018,"Foster Street, SALE, VICTORIA, AUSTRALIA"
463,Fourteenth Street,IRYMPLE,C,Jun-2018,"Fourteenth Street, IRYMPLE, VICTORIA, AUSTRALIA"
464,Frankston-Dandenong Road,BANGHOLME,C,Apr-2018,"Frankston-Dandenong Road, BANGHOLME, VICTORIA, AUSTRALIA"
465,Frankston-Dandenong Road,FRANKSTON,C,May-2018,"Frankston-Dandenong Road, FRANKSTON, VICTORIA, AUSTRALIA"
466,Frankston-Dandenong Road,SEAFORD,C,May-2018,"Frankston-Dandenong Road, SEAFORD, VICTORIA, AUSTRALIA"
467,Frankston-Flinders Road,BITTERN,ABC,May-2018,"Frankston-Flinders Road, BITTERN, VICTORIA, AUSTRALIA"
468,Frankston-Flinders Road,SOMERVILLE,C,May-2018,"Frankston-Flinders Road, SOMERVILLE, VICTORIA, AUSTRALIA"
469,Frawley Road,HALLAM,ABC,Jul-2018,"Frawley Road, HALLAM, VICTORIA, AUSTRALIA"
470,Fussell Street,BALLARAT EAST,BC,Jul-2018,"Fussell Street, BALLARAT EAST, VICTORIA, AUSTRALIA"
471,Fyansford-Gheringhap Road,GHERINGHAP,BC,Apr-2018,"Fyansford-Gheringhap Road, GHERINGHAP, VICTORIA, AUSTRALIA"
472,Gaffney Street,PASCOE VALE,C,Dec-2017,"Gaffney Street, PASCOE VALE, VICTORIA, AUSTRALIA"
473,Gallaghers Road,GLEN WAVERLEY,C,May-2018,"Gallaghers Road, GLEN WAVERLEY, VICTORIA, AUSTRALIA"
474,Gap Road,SUNBURY,ABC,Dec-2017,"Gap Road, SUNBURY, VICTORIA, AUSTRALIA"
475,Garden Street,PORTLAND,C,May-2018,"Garden Street, PORTLAND, VICTORIA, AUSTRALIA"
476,Gardenia Street,HORSHAM,AC,Jul-2018,"Gardenia Street, HORSHAM, VICTORIA, AUSTRALIA"
477,Gear Avenue,MOUNT HELEN,BC,Jul-2018,"Gear Avenue, MOUNT HELEN, VICTORIA, AUSTRALIA"
478,Geelong-Bacchus Marsh Road,ANAKIE,ABC,Apr-2018,"Geelong-Bacchus Marsh Road, ANAKIE, VICTORIA, AUSTRALIA"
479,Geelong-Bacchus Marsh Road,BACCHUS MARSH,C,Apr-2018,"Geelong-Bacchus Marsh Road, BACCHUS MARSH, VICTORIA, AUSTRALIA"
480,Geelong-Bacchus Marsh Road,BALLIANG,ABC,Apr-2018,"Geelong-Bacchus Marsh Road, BALLIANG, VICTORIA, AUSTRALIA"
481,Geelong-Bacchus Marsh Road,BALLIANG EAST,C,Apr-2018,"Geelong-Bacchus Marsh Road, BALLIANG EAST, VICTORIA, AUSTRALIA"
482,Geelong-Ballan Road,BALLAN,ABC,Apr-2018,"Geelong-Ballan Road, BALLAN, VICTORIA, AUSTRALIA"
483,Geelong-Ballan Road,BEREMBOKE,ABC,Apr-2018,"Geelong-Ballan Road, BEREMBOKE, VICTORIA, AUSTRALIA"
484,Geelong-Ballan Road,MOUNT WALLACE,ABC,Apr-2018,"Geelong-Ballan Road, MOUNT WALLACE, VICTORIA, AUSTRALIA"
485,George Street,DONCASTER,C,May-2018,"George Street, DONCASTER, VICTORIA, AUSTRALIA"
486,George Street,HAMILTON,C,May-2018,"George Street, HAMILTON, VICTORIA, AUSTRALIA"
487,George Street,SANDRINGHAM,AC,Jun-2018,"George Street, SANDRINGHAM, VICTORIA, AUSTRALIA"
488,Gibsons Road,SALE,C,Apr-2018,"Gibsons Road, SALE, VICTORIA, AUSTRALIA"
489,Gillies Road,ASCOT,BC,Jul-2018,"Gillies Road, ASCOT, VICTORIA, AUSTRALIA"
490,Gillies Road,BALD HILLS,BC,Jul-2018,"Gillies Road, BALD HILLS, VICTORIA, AUSTRALIA"
491,Gillies Road,MOUNT ROWAN,BC,Jul-2018,"Gillies Road, MOUNT ROWAN, VICTORIA, AUSTRALIA"
492,Gillies Road,SULKY,BC,Jul-2018,"Gillies Road, SULKY, VICTORIA, AUSTRALIA"
493,Gisborne Road,BACCHUS MARSH,C,Apr-2018,"Gisborne Road, BACCHUS MARSH, VICTORIA, AUSTRALIA"
494,Gisborne-Kilmore Road,NEW GISBORNE,C,Apr-2018,"Gisborne-Kilmore Road, NEW GISBORNE, VICTORIA, AUSTRALIA"
495,Gisborne-Melton Road,KURUNJANG,ABC,Jul-2018,"Gisborne-Melton Road, KURUNJANG, VICTORIA, AUSTRALIA"
496,Gisborne-Melton Road,MELTON,BC,Apr-2018,"Gisborne-Melton Road, MELTON, VICTORIA, AUSTRALIA"
497,Gisborne-Melton Road,TOOLERN VALE,ABC,Apr-2018,"Gisborne-Melton Road, TOOLERN VALE, VICTORIA, AUSTRALIA"
498,Gladesville Boulevard,PATTERSON LAKES (SCS),ACD,Mar-2018,"Gladesville Boulevard, PATTERSON LAKES (SCS), VICTORIA, AUSTRALIA"
499,Gladstone Road,DANDENONG NORTH,C,Apr-2018,"Gladstone Road, DANDENONG NORTH, VICTORIA, AUSTRALIA"
500,Glen Huntly Road,ELWOOD,BC,Jul-2018,"Glen Huntly Road, ELWOOD, VICTORIA, AUSTRALIA"
501,Glen Katherine Drive,ST HELENA,B,Apr-2018,"Glen Katherine Drive, ST HELENA, VICTORIA, AUSTRALIA"
502,Glencairn Drive,GREENVALE,BC,Dec-2017,"Glencairn Drive, GREENVALE, VICTORIA, AUSTRALIA"
503,Gleneagles Drive,ENDEAVOUR HILLS,B,Jul-2018,"Gleneagles Drive, ENDEAVOUR HILLS, VICTORIA, AUSTRALIA"
504,Glenelg Highway,CARRANBALLAC,C,Jul-2018,"Glenelg Highway, CARRANBALLAC, VICTORIA, AUSTRALIA"
505,Glenelg Highway,CASTERTON,C,May-2018,"Glenelg Highway, CASTERTON, VICTORIA, AUSTRALIA"
506,Glenelg Highway,COLERAINE,C,May-2018,"Glenelg Highway, COLERAINE, VICTORIA, AUSTRALIA"
507,Glenelg Highway,DUNKELD,ABC,May-2018,"Glenelg Highway, DUNKELD, VICTORIA, AUSTRALIA"
508,Glenelg Highway,GLENTHOMPSON,C,May-2018,"Glenelg Highway, GLENTHOMPSON, VICTORIA, AUSTRALIA"
509,Glenelg Highway,HAMILTON,C,May-2018,"Glenelg Highway, HAMILTON, VICTORIA, AUSTRALIA"
510,Glenelg Highway,LAKE BOLAC,AC,Jul-2018,"Glenelg Highway, LAKE BOLAC, VICTORIA, AUSTRALIA"
511,Glenelg Highway,PITTONG,C,Apr-2018,"Glenelg Highway, PITTONG, VICTORIA, AUSTRALIA"
512,Glenelg Highway,SKIPTON,C,Jul-2018,"Glenelg Highway, SKIPTON, VICTORIA, AUSTRALIA"
513,Glenelg Highway,SMYTHES CREEK,C,Jul-2018,"Glenelg Highway, SMYTHES CREEK, VICTORIA, AUSTRALIA"
514,Glenelg Highway,SMYTHESDALE,BC,Apr-2018,"Glenelg Highway, SMYTHESDALE, VICTORIA, AUSTRALIA"
515,Glenelg Highway,STREATHAM,C,Jul-2018,"Glenelg Highway, STREATHAM, VICTORIA, AUSTRALIA"
516,Glenelg Highway,WANNON,C,May-2018,"Glenelg Highway, WANNON, VICTORIA, AUSTRALIA"
517,Glenelg Highway,WARRAYURE,AC,May-2018,"Glenelg Highway, WARRAYURE, VICTORIA, AUSTRALIA"
518,Glenelg Highway,WESTMERE,C,Jul-2018,"Glenelg Highway, WESTMERE, VICTORIA, AUSTRALIA"
519,Glenelg Highway,WICKLIFFE,AC,Jul-2018,"Glenelg Highway, WICKLIFFE, VICTORIA, AUSTRALIA"
520,Glenelg Highway,WILKIN,C,May-2018,"Glenelg Highway, WILKIN, VICTORIA, AUSTRALIA"
521,Glenfern Road,UPWEY,ABC,Mar-2018,"Glenfern Road, UPWEY, VICTORIA, AUSTRALIA"
522,Glenferrie Road,MALVERN,C,Jul-2018,"Glenferrie Road, MALVERN, VICTORIA, AUSTRALIA"
523,Glengarry West Road,GLENGARRY WEST,AC,Apr-2018,"Glengarry West Road, GLENGARRY WEST, VICTORIA, AUSTRALIA"
524,Glenrowan Myrtleford Road,MARKWOOD,C,Apr-2018,"Glenrowan Myrtleford Road, MARKWOOD, VICTORIA, AUSTRALIA"
525,Glenrowan-Myrtleford Road,LACEBY,AC,Apr-2018,"Glenrowan-Myrtleford Road, LACEBY, VICTORIA, AUSTRALIA"
526,Glenrowan-Myrtleford Road,WHOROULY,ABC,Apr-2018,"Glenrowan-Myrtleford Road, WHOROULY, VICTORIA, AUSTRALIA"
527,Glenroy Road,GLENROY,C,Dec-2017,"Glenroy Road, GLENROY, VICTORIA, AUSTRALIA"
528,Golf Course Road,HAVEN,C,Jul-2018,"Golf Course Road, HAVEN, VICTORIA, AUSTRALIA"
529,Golf Links Road,FRANKSTON,C,May-2018,"Golf Links Road, FRANKSTON, VICTORIA, AUSTRALIA"
530,Golf Links Road,NARRE WARREN,B,Jul-2018,"Golf Links Road, NARRE WARREN, VICTORIA, AUSTRALIA"
531,Goodwin Street,BENALLA,BC,Apr-2018,"Goodwin Street, BENALLA, VICTORIA, AUSTRALIA"
532,Gordons Road,SOUTH MORANG,BC,Apr-2018,"Gordons Road, SOUTH MORANG, VICTORIA, AUSTRALIA"
533,Goulburn Valley Freeway,ARCADIA,B,Apr-2018,"Goulburn Valley Freeway, ARCADIA, VICTORIA, AUSTRALIA"
534,Goulburn Valley Freeway,MANGALORE,AC,Apr-2018,"Goulburn Valley Freeway, MANGALORE, VICTORIA, AUSTRALIA"
535,Goulburn Valley Freeway,MOORILIM,C,Apr-2018,"Goulburn Valley Freeway, MOORILIM, VICTORIA, AUSTRALIA"
536,Goulburn Valley Highway,EILDON,C,Apr-2018,"Goulburn Valley Highway, EILDON, VICTORIA, AUSTRALIA"
537,Goulburn Valley Highway,HOMEWOOD,C,Apr-2018,"Goulburn Valley Highway, HOMEWOOD, VICTORIA, AUSTRALIA"
538,Goulburn Valley Highway,KIALLA,BC,Apr-2018,"Goulburn Valley Highway, KIALLA, VICTORIA, AUSTRALIA"
539,Goulburn Valley Highway,KIALLA WEST,C,Apr-2018,"Goulburn Valley Highway, KIALLA WEST, VICTORIA, AUSTRALIA"
540,Goulburn Valley Highway,KOONOOMOO,C,Apr-2018,"Goulburn Valley Highway, KOONOOMOO, VICTORIA, AUSTRALIA"
541,Goulburn Valley Highway,KORIELLA,C,Apr-2018,"Goulburn Valley Highway, KORIELLA, VICTORIA, AUSTRALIA"
542,Goulburn Valley Highway,MOLESWORTH,AC,Apr-2018,"Goulburn Valley Highway, MOLESWORTH, VICTORIA, AUSTRALIA"
543,Goulburn Valley Highway,NUMURKAH,ABC,Apr-2018,"Goulburn Valley Highway, NUMURKAH, VICTORIA, AUSTRALIA"
544,Goulburn Valley Highway,SEYMOUR,ABC,Apr-2018,"Goulburn Valley Highway, SEYMOUR, VICTORIA, AUSTRALIA"
545,Goulburn Valley Highway,TALLYGAROOPNA,C,Apr-2018,"Goulburn Valley Highway, TALLYGAROOPNA, VICTORIA, AUSTRALIA"
546,Goulburn Valley Highway,WUNGHNU,C,Apr-2018,"Goulburn Valley Highway, WUNGHNU, VICTORIA, AUSTRALIA"
547,Goulburn Valley Hwy,SHEPPARTON NORTH,AC,Apr-2018,"Goulburn Valley Hwy, SHEPPARTON NORTH, VICTORIA, AUSTRALIA"
548,Gourlay Road,HILLSIDE,C,Jul-2018,"Gourlay Road, HILLSIDE, VICTORIA, AUSTRALIA"
549,Gourlay Road,TAYLORS HILL,BC,Apr-2018,"Gourlay Road, TAYLORS HILL, VICTORIA, AUSTRALIA"
550,Governor Road,BRAESIDE,AC,Jun-2018,"Governor Road, BRAESIDE, VICTORIA, AUSTRALIA"
551,Goynes Road,EPSOM (WBI),BCD,Jun-2018,"Goynes Road, EPSOM (WBI), VICTORIA, AUSTRALIA"
552,Grampians Road,HALLS GAP,C,Jul-2018,"Grampians Road, HALLS GAP, VICTORIA, AUSTRALIA"
553,Grampians Road,MOKEPILLY,AC,Jul-2018,"Grampians Road, MOKEPILLY, VICTORIA, AUSTRALIA"
554,Grange Road,ALPHINGTON,AC,Apr-2018,"Grange Road, ALPHINGTON, VICTORIA, AUSTRALIA"
555,Grano Street,ARARAT,B,Jul-2018,"Grano Street, ARARAT, VICTORIA, AUSTRALIA"
556,Grants Road,EDEN PARK,C,Apr-2018,"Grants Road, EDEN PARK, VICTORIA, AUSTRALIA"
557,Grants Road,WHITTLESEA,AC,Apr-2018,"Grants Road, WHITTLESEA, VICTORIA, AUSTRALIA"
558,Gravesend Street,COLAC,AC,Apr-2018,"Gravesend Street, COLAC, VICTORIA, AUSTRALIA"
559,Gray Street,HAMILTON,C,May-2018,"Gray Street, HAMILTON, VICTORIA, AUSTRALIA"
560,Gray Street,SWAN HILL,C,Apr-2018,"Gray Street, SWAN HILL, VICTORIA, AUSTRALIA"
561,Graydens Road,HASTINGS,ABC,May-2018,"Graydens Road, HASTINGS, VICTORIA, AUSTRALIA"
562,Great Alpine Road,BOWMANS FOREST,ABC,Apr-2018,"Great Alpine Road, BOWMANS FOREST, VICTORIA, AUSTRALIA"
563,Great Alpine Road,DOCTORS FLAT,BC,Apr-2018,"Great Alpine Road, DOCTORS FLAT, VICTORIA, AUSTRALIA"
564,Great Alpine Road,EUROBIN,ABC,Apr-2018,"Great Alpine Road, EUROBIN, VICTORIA, AUSTRALIA"
565,Great Alpine Road,GRANITE ROCK,C,Apr-2018,"Great Alpine Road, GRANITE ROCK, VICTORIA, AUSTRALIA"
566,Great Alpine Road,OMEO,C,Apr-2018,"Great Alpine Road, OMEO, VICTORIA, AUSTRALIA"
567,Great Alpine Road,OVENS,B,Apr-2018,"Great Alpine Road, OVENS, VICTORIA, AUSTRALIA"
568,Great Alpine Road,SARSFIELD,BC,Apr-2018,"Great Alpine Road, SARSFIELD, VICTORIA, AUSTRALIA"
569,Great Alpine Road,SMOKO,ABC,Apr-2018,"Great Alpine Road, SMOKO, VICTORIA, AUSTRALIA"
570,Great Alpine Road,SWIFTS CREEK,C,Apr-2018,"Great Alpine Road, SWIFTS CREEK, VICTORIA, AUSTRALIA"
571,Great Alpine Road,TARRAWINGEE,BC,Apr-2018,"Great Alpine Road, TARRAWINGEE, VICTORIA, AUSTRALIA"
572,Great Alpine Road,WISELEIGH,C,Apr-2018,"Great Alpine Road, WISELEIGH, VICTORIA, AUSTRALIA"
573,Great Ocean  Road,APOLLO BAY,C,Mar-2018,"Great Ocean  Road, APOLLO BAY, VICTORIA, AUSTRALIA"
574,Great Ocean Road,LORNE,ABC,Jul-2018,"Great Ocean Road, LORNE, VICTORIA, AUSTRALIA"
