ROW_INDEX,LOCATION,SUBURB,Reason Code,Audit Date,full_location
189,Brunswick Road,BRUNSWICK,C,Dec-2017,"Brunswick Road, BRUNSWICK, VICTORIA, AUSTRALIA"
190,Bruthen-Nowa Nowa Road,BRUTHEN,C,Apr-2018,"Bruthen-Nowa Nowa Road, BRUTHEN, VICTORIA, AUSTRALIA"
191,Bruthen-Nowa Nowa Road,NOWA NOWA,C,Apr-2018,"Bruthen-Nowa Nowa Road, NOWA NOWA, VICTORIA, AUSTRALIA"
192,Buckley Street,ESSENDON,C,Dec-2017,"Buckley Street, ESSENDON, VICTORIA, AUSTRALIA"
193,Buckley Street,ESSENDON WEST,C,Dec-2017,"Buckley Street, ESSENDON WEST, VICTORIA, AUSTRALIA"
194,Buckley Street,KEILOR EAST,BC,Dec-2017,"Buckley Street, KEILOR EAST, VICTORIA, AUSTRALIA"
195,Bulla Road,BULLA,ABC,Dec-2017,"Bulla Road, BULLA, VICTORIA, AUSTRALIA"
196,Bulleen Road,BALWYN NORTH,C,Apr-2018,"Bulleen Road, BALWYN NORTH, VICTORIA, AUSTRALIA"
197,Bullumwaal Road,WY YUNG,BC,Apr-2018,"Bullumwaal Road, WY YUNG, VICTORIA, AUSTRALIA"
198,Bulmans Road,MELTON WEST,C,Apr-2018,"Bulmans Road, MELTON WEST, VICTORIA, AUSTRALIA"
199,Bungower Road,MOOROODUC,C,May-2018,"Bungower Road, MOOROODUC, VICTORIA, AUSTRALIA"
200,Bungower Road,SOMERVILLE,ABC,May-2018,"Bungower Road, SOMERVILLE, VICTORIA, AUSTRALIA"
201,Burke Road,GLEN IRIS,C,Jul-2018,"Burke Road, GLEN IRIS, VICTORIA, AUSTRALIA"
202,Burke Road,MALVERN EAST,C,Jul-2018,"Burke Road, MALVERN EAST, VICTORIA, AUSTRALIA"
203,Burns Street,HAMILTON,C,May-2018,"Burns Street, HAMILTON, VICTORIA, AUSTRALIA"
204,Burnside Road,BANNOCKBURN,BC,Apr-2018,"Burnside Road, BANNOCKBURN, VICTORIA, AUSTRALIA"
205,Burwood Highway,KNOXFIELD,ABC,Jan-2018,"Burwood Highway, KNOXFIELD, VICTORIA, AUSTRALIA"
206,Burwood Highway,WANTIRNA,AC,Jan-2018,"Burwood Highway, WANTIRNA, VICTORIA, AUSTRALIA"
207,Burwood Highway,WANTIRNA SOUTH,ABC,Jan-2018,"Burwood Highway, WANTIRNA SOUTH, VICTORIA, AUSTRALIA"
208,Cairns Road,HAMPTON PARK,BC,Jul-2018,"Cairns Road, HAMPTON PARK, VICTORIA, AUSTRALIA"
209,Calder Alternative Highway,MARONG,C,May-2018,"Calder Alternative Highway, MARONG, VICTORIA, AUSTRALIA"
210,Calder Freeway,DIGGERS REST,ABC,Jul-2018,"Calder Freeway, DIGGERS REST, VICTORIA, AUSTRALIA"
211,Calder Freeway,ELPHINSTONE,ABC,May-2018,"Calder Freeway, ELPHINSTONE, VICTORIA, AUSTRALIA"
212,Calder Freeway,FARADAY,ABC,May-2018,"Calder Freeway, FARADAY, VICTORIA, AUSTRALIA"
213,Calder Freeway,GISBORNE SOUTH,C,Apr-2018,"Calder Freeway, GISBORNE SOUTH, VICTORIA, AUSTRALIA"
214,Calder Freeway,HARCOURT,ABC,May-2018,"Calder Freeway, HARCOURT, VICTORIA, AUSTRALIA"
215,Calder Freeway,SUNBURY,AC,Dec-2017,"Calder Freeway, SUNBURY, VICTORIA, AUSTRALIA"
216,Calder Highway,BERRIWILLOCK,C,Apr-2018,"Calder Highway, BERRIWILLOCK, VICTORIA, AUSTRALIA"
217,Calder Highway,BRIDGEWATER ON LODDON,C,May-2018,"Calder Highway, BRIDGEWATER ON LODDON, VICTORIA, AUSTRALIA"
218,Calder Highway,CABARITA,C,Jun-2018,"Calder Highway, CABARITA, VICTORIA, AUSTRALIA"
219,Calder Highway,CULGOA,C,Apr-2018,"Calder Highway, CULGOA, VICTORIA, AUSTRALIA"
220,Calder Highway,DERBY,C,May-2018,"Calder Highway, DERBY, VICTORIA, AUSTRALIA"
221,Calder Highway,DUMOSA,C,Apr-2018,"Calder Highway, DUMOSA, VICTORIA, AUSTRALIA"
222,Calder Highway,GLENALBYN,C,May-2018,"Calder Highway, GLENALBYN, VICTORIA, AUSTRALIA"
223,Calder Highway,HATTAH,AC,Jun-2018,"Calder Highway, HATTAH, VICTORIA, AUSTRALIA"
224,Calder Highway,KURTING,C,Jul-2018,"Calder Highway, KURTING, VICTORIA, AUSTRALIA"
225,Calder Highway,LEICHARDT,C,May-2018,"Calder Highway, LEICHARDT, VICTORIA, AUSTRALIA"
226,Calder Highway,MAIDEN GULLY,C,May-2018,"Calder Highway, MAIDEN GULLY, VICTORIA, AUSTRALIA"
227,Calder Highway,MARONG,C,May-2018,"Calder Highway, MARONG, VICTORIA, AUSTRALIA"
228,Calder Highway,MERBEIN,C,Jun-2018,"Calder Highway, MERBEIN, VICTORIA, AUSTRALIA"
229,Calder Highway,MERBEIN WEST,C,Jun-2018,"Calder Highway, MERBEIN WEST, VICTORIA, AUSTRALIA"
230,Calder Highway,MILDURA,C,Jun-2018,"Calder Highway, MILDURA, VICTORIA, AUSTRALIA"
231,Calder Highway,MITTYACK,C,Jun-2018,"Calder Highway, MITTYACK, VICTORIA, AUSTRALIA"
232,Calder Highway,NANDALY,C,Apr-2018,"Calder Highway, NANDALY, VICTORIA, AUSTRALIA"
233,Calder Highway,NINDA,C,Apr-2018,"Calder Highway, NINDA, VICTORIA, AUSTRALIA"
234,Calder Highway,NULLAWIL,C,Apr-2018,"Calder Highway, NULLAWIL, VICTORIA, AUSTRALIA"
235,Calder Highway,OUYEN,ABC,Jun-2018,"Calder Highway, OUYEN, VICTORIA, AUSTRALIA"
236,Calder Highway,RED CLIFFS,BC,Jun-2018,"Calder Highway, RED CLIFFS, VICTORIA, AUSTRALIA"
237,Calder Highway,SEA LAKE,A,Apr-2018,"Calder Highway, SEA LAKE, VICTORIA, AUSTRALIA"
238,Calder Highway,TEDDYWADDY,C,Apr-2018,"Calder Highway, TEDDYWADDY, VICTORIA, AUSTRALIA"
239,Calder Highway,WARNE,C,Apr-2018,"Calder Highway, WARNE, VICTORIA, AUSTRALIA"
240,Calder Highway,WOOSANG,C,Apr-2018,"Calder Highway, WOOSANG, VICTORIA, AUSTRALIA"
241,Calder Highway,WYCHEPROOF SOUTH,C,Apr-2018,"Calder Highway, WYCHEPROOF SOUTH, VICTORIA, AUSTRALIA"
242,Calder Highway,YATPOOL,C,Jun-2018,"Calder Highway, YATPOOL, VICTORIA, AUSTRALIA"
243,Calder Highway,YELTA,C,Jun-2018,"Calder Highway, YELTA, VICTORIA, AUSTRALIA"
244,Calder Park Drive,SYDENHAM,ABC,Jul-2018,"Calder Park Drive, SYDENHAM, VICTORIA, AUSTRALIA"
245,Calder Park Drive,TAYLORS HILL,BC,Apr-2018,"Calder Park Drive, TAYLORS HILL, VICTORIA, AUSTRALIA"
246,Caledonia Street,ST ANDREWS (NHB),BCD,Jul-2018,"Caledonia Street, ST ANDREWS (NHB), VICTORIA, AUSTRALIA"
247,Calvert Street,BAIRNSDALE,C,Apr-2018,"Calvert Street, BAIRNSDALE, VICTORIA, AUSTRALIA"
248,Cambden Park Parade,FERNTREE GULLY,BC,Jan-2018,"Cambden Park Parade, FERNTREE GULLY, VICTORIA, AUSTRALIA"
249,Camelot Drive,GLEN WAVERLEY,C,May-2018,"Camelot Drive, GLEN WAVERLEY, VICTORIA, AUSTRALIA"
250,Cameron Parade,BUNDOORA,ABC,Apr-2018,"Cameron Parade, BUNDOORA, VICTORIA, AUSTRALIA"
251,Camp Road,BROADMEADOWS,AC,Dec-2017,"Camp Road, BROADMEADOWS, VICTORIA, AUSTRALIA"
252,Campbell Street,ARARAT,B,Jul-2018,"Campbell Street, ARARAT, VICTORIA, AUSTRALIA"
253,Campbell Street,WONTHAGGI,BC,Nov-2017,"Campbell Street, WONTHAGGI, VICTORIA, AUSTRALIA"
254,Canning Street,AVONDALE HEIGHTS,AC,Dec-2017,"Canning Street, AVONDALE HEIGHTS, VICTORIA, AUSTRALIA"
255,Canterbury Road,BLACKBURN SOUTH,C,May-2018,"Canterbury Road, BLACKBURN SOUTH, VICTORIA, AUSTRALIA"
256,Canterbury Road,BOX HILL,C,May-2018,"Canterbury Road, BOX HILL, VICTORIA, AUSTRALIA"
257,Canterbury Road,MONTROSE,BC,Mar-2018,"Canterbury Road, MONTROSE, VICTORIA, AUSTRALIA"
258,Cape Nelson Road,PORTLAND,C,May-2018,"Cape Nelson Road, PORTLAND, VICTORIA, AUSTRALIA"
259,Cape Otway Road,BIRREGURRA,ABC,Apr-2018,"Cape Otway Road, BIRREGURRA, VICTORIA, AUSTRALIA"
260,Cape Otway Road,WINCHELSEA,ABC,Apr-2018,"Cape Otway Road, WINCHELSEA, VICTORIA, AUSTRALIA"
261,Carnarvon Road,STRATHMORE,C,Dec-2017,"Carnarvon Road, STRATHMORE, VICTORIA, AUSTRALIA"
262,Carngham Road,BUNKERS HILL,C,Jul-2018,"Carngham Road, BUNKERS HILL, VICTORIA, AUSTRALIA"
263,Carngham Road,HADDON,C,Jul-2018,"Carngham Road, HADDON, VICTORIA, AUSTRALIA"
264,Carrick Drive,GLADSTONE PARK,ABC,Dec-2017,"Carrick Drive, GLADSTONE PARK, VICTORIA, AUSTRALIA"
265,Carroll Road,OAKLEIGH SOUTH,C,Jun-2018,"Carroll Road, OAKLEIGH SOUTH, VICTORIA, AUSTRALIA"
266,Casterton-Penola Road,CASTERTON,C,May-2018,"Casterton-Penola Road, CASTERTON, VICTORIA, AUSTRALIA"
267,Castlemaine-Maldon Road,MUCKLEFORD,C,May-2018,"Castlemaine-Maldon Road, MUCKLEFORD, VICTORIA, AUSTRALIA"
268,Centenary Avenue,MELTON,C,Apr-2018,"Centenary Avenue, MELTON, VICTORIA, AUSTRALIA"
269,Centenary Drive,MILL PARK,AC,Apr-2018,"Centenary Drive, MILL PARK, VICTORIA, AUSTRALIA"
270,Central Road,NUNAWADING,C,May-2018,"Central Road, NUNAWADING, VICTORIA, AUSTRALIA"
271,Centre Dandenong Road,CHELTENHAM,C,Jun-2018,"Centre Dandenong Road, CHELTENHAM, VICTORIA, AUSTRALIA"
272,Centre Dandenong Road,MOORABBIN AIRPORT,AC,Jun-2018,"Centre Dandenong Road, MOORABBIN AIRPORT, VICTORIA, AUSTRALIA"
273,Centre Road,BENTLEIGH EAST,AC,Jun-2018,"Centre Road, BENTLEIGH EAST, VICTORIA, AUSTRALIA"
274,Centre Road,LANGWARRIN,C,Jul-2018,"Centre Road, LANGWARRIN, VICTORIA, AUSTRALIA"
275,Centre Road,OAKLEIGH SOUTH,AC,Jun-2018,"Centre Road, OAKLEIGH SOUTH, VICTORIA, AUSTRALIA"
276,Chadstone Road,MALVERN EAST,C,Jul-2018,"Chadstone Road, MALVERN EAST, VICTORIA, AUSTRALIA"
277,Champion Road,NEWPORT,C,Feb-2018,"Champion Road, NEWPORT, VICTORIA, AUSTRALIA"
278,Chandler Road,KEYSBOROUGH,BC,Apr-2018,"Chandler Road, KEYSBOROUGH, VICTORIA, AUSTRALIA"
279,Chapel Road,KEYSBOROUGH,B,Apr-2018,"Chapel Road, KEYSBOROUGH, VICTORIA, AUSTRALIA"
280,Chapel Road,MOORABBIN,C,Jun-2018,"Chapel Road, MOORABBIN, VICTORIA, AUSTRALIA"
281,Charlton-St Arnaud Road,ST ARNAUD,C,Jul-2018,"Charlton-St Arnaud Road, ST ARNAUD, VICTORIA, AUSTRALIA"
282,Chatsworth-Hamilton Road,CROXTON EAST,ABC,May-2018,"Chatsworth-Hamilton Road, CROXTON EAST, VICTORIA, AUSTRALIA"
283,Chauncey Street,LANCEFIELD,C,Apr-2018,"Chauncey Street, LANCEFIELD, VICTORIA, AUSTRALIA"
284,Chenery Street,MANSFIELD,C,Apr-2018,"Chenery Street, MANSFIELD, VICTORIA, AUSTRALIA"
285,Cherry Tree Road,PANTON HILL,AC,Apr-2018,"Cherry Tree Road, PANTON HILL, VICTORIA, AUSTRALIA"
286,Childers Street,PORTLAND,C,May-2018,"Childers Street, PORTLAND, VICTORIA, AUSTRALIA"
287,Childs Road,MILL PARK,AC,Apr-2018,"Childs Road, MILL PARK, VICTORIA, AUSTRALIA"
288,Chisholm Street,BALLARAT,C,Jul-2018,"Chisholm Street, BALLARAT, VICTORIA, AUSTRALIA"
289,Christies Road,LEOPOLD,AC,Apr-2018,"Christies Road, LEOPOLD, VICTORIA, AUSTRALIA"
