LOCATION,SUBURB,Reason Code,Audit Date,full_location,row_index,longitude,latitude,corrected address,extracted_on,inside_victoria_bounds
Western Highway,DEEP LEAD,C,Jul-18,"Western Highway, DEEP LEAD",1589,142.7015468,-37.0042336,"Western Hwy, Deep Lead VIC 3385, Australia",2018-August-06,TRUE
Western Highway,DIMBOOLA,AC,Jul-18,"Western Highway, DIMBOOLA",1590,142.0165414,-36.4356431,"Western Hwy, Dimboola VIC 3414, Australia",2018-August-06,TRUE
Western Highway,DOBIE,C,Jul-18,"Western Highway, DOBIE",1591,143.0314567,-37.3142812,"Western Hwy, Dobie VIC 3377, Australia",2018-August-06,TRUE
Western Highway,DRUNG,AC,Jul-18,"Western Highway, DRUNG",1592,142.3223961,-36.7983522,"Western Hwy, Drung VIC 3401, Australia",2018-August-06,TRUE
Western Highway,DRUNG DRUNG SOUTH,C,Jul-18,"Western Highway, DRUNG DRUNG SOUTH",1593,142.4286102,-36.8597055,"Western Hwy, Victoria, Australia",2018-August-06,TRUE
Western Highway,GERANG GERUNG,C,Jul-18,"Western Highway, GERANG GERUNG",1594,141.8655853,-36.3716179,"Western Hwy, Gerang Gerung VIC 3418, Australia",2018-August-06,TRUE
Western Highway,KINIMAKATKA,C,Jul-18,"Western Highway, KINIMAKATKA",1595,141.5744224,-36.3722627,"Western Hwy & Kinimakatka Rd, Nhill VIC 3418, Australia",2018-August-06,TRUE
Western Highway,LAWLOIT,AC,Jul-18,"Western Highway, LAWLOIT",1596,141.4524288,-36.4012248,"Western Hwy, Lawloit VIC 3418, Australia",2018-August-06,TRUE
Western Highway,LEIGH CREEK,ABC,Apr-18,"Western Highway, LEIGH CREEK",1597,142.4286102,-36.8597055,"Western Hwy, Victoria, Australia",2018-August-06,TRUE
Western Highway,LOCHIEL,C,Jul-18,"Western Highway, LOCHIEL",1598,142.4286102,-36.8597055,"Western Hwy, Victoria, Australia",2018-August-06,TRUE
Western Highway,MIRAM,AC,Jul-18,"Western Highway, MIRAM",1599,141.3896696,-36.3946726,"Western Hwy, Miram VIC 3415, Australia",2018-August-06,TRUE
Western Highway,MIRAM SOUTH,C,Jul-18,"Western Highway, MIRAM SOUTH",1600,141.3622032,-36.3927532,"Western Hwy & Miram S Rd, Kaniva VIC 3419, Australia",2018-August-06,TRUE
Western Highway,MOUNT LANGI GHIRAN,C,Jul-18,"Western Highway, MOUNT LANGI GHIRAN",1601,143.144554,-37.315314,"80 Vine Rd, Bayindeen VIC 3375, Australia",2018-August-06,TRUE
Western Highway,SERVICETON,C,Jul-18,"Western Highway, SERVICETON",1602,141.0266384,-36.3513127,"Western Hwy, Serviceton VIC 3420, Australia",2018-August-06,TRUE
Western Highway,STAWELL,C,Jul-18,"Western Highway, STAWELL",1603,142.7480673,-37.0548491,"Western Hwy, Stawell VIC 3380, Australia",2018-August-06,TRUE
Western Highway,TRAWALLA,ABC,Jul-18,"Western Highway, TRAWALLA",1604,143.5013495,-37.4438193,"Western Hwy, Trawalla VIC 3373, Australia",2018-August-06,TRUE
Western Port Highway,LANGWARRIN,ABC,May-18,"Western Port Highway, LANGWARRIN",1605,145.2243385,-38.1542315,"Western Port Hwy, Langwarrin VIC 3910, Australia",2018-August-06,TRUE
Western Port Highway,LYNDHURST,C,Apr-18,"Western Port Highway, LYNDHURST",1606,145.2417425,-38.0650465,"Western Port Hwy, Lyndhurst VIC 3975, Australia",2018-August-06,TRUE
