row_index,location_long,location_short,longitude,latitude
182,"Seymour Grove at the intersection of Seymour Grove and Camberwell Road, Camberwell",Camberwell,145.06202682853,-37.836077054249
183,"Nicholson Street at the intersection of Nicholson Street and Elgin Street, Carlton",Carlton,144.97476249933,-37.798102659457
184,"At the intersection of North Road and Clayton Road, Oakleigh East",Oakleigh East,145.121705,-37.913625
185,"Fitzroy Street at the intersection of Fitzroy Street and Lakeside Drive, St Kilda",St Kilda,144.9801979959,-37.858001639837
186,"Middleborough Road at the intersection of Middleborough Road and Eastern Freeway, Box Hill North",Box Hill North,145.14210015535,-37.79885822716
187,"Nepean Highway at the intersection of Nepean Highway and Karen Street, Highett",Highett,145.05188405514,-37.957280009686
188,"York Street at the intersection of York Street and MacArthur Street, Sale",Sale,147.06806302071,-38.105031326448
189,"At the intersection of Barkers Road and Glenferrie Road, Hawthorn",Hawthorn,145.036965,-37.814747
190,"Williamsons Road at the intersection of Williamsons Road and Doncaster Road, Doncaster",Doncaster,145.12484818697,-37.787195343028
191,"At the intersection of Brighton Road and Glen Eira Road, Ripponlea",Ripponlea,144.992417,-37.876144
192,"EastLink Northbound, Wellington Road Bridge, Rowville",EastLink Rowville,145.21295070648,-37.925378122622
193,"Peninsula Link Freeway and Eramosa Road West Bridge Northbound, Moorooduc",Peninsula Link Moorooduc,145.128987,-38.216572
194,"Peninsula Link Freeway and Loders Road Bridge Northbound, Moorooduc",Peninsula Link Moorooduc,145.106703,-38.262989
195,"Peninsula Link Freeway and Mornington-Tyabb Road Bridge Southbound, Moorooduc",Peninsula Link Moorooduc,145.117899,-38.252096
196,"Dandenong Road at the intersection of Dandenong Road and Warrigal Road, Malvern East",Malvern East,145.08799731731,-37.892902525944
197,"Kings Way at the intersection of Kings Way and Park Street, South Melbourne",South Melbourne,144.96774852276,-37.833246917301
198,"Park Road at the intersection of Park Road and Charman Road, Cheltenham",Cheltenham,145.05581617355,-37.965452354924
199,"Fitzroy Street at the intersection of Fitzroy Street and Princes Street, St Kilda",St Kilda,144.98067140579,-37.857985757118
200,"Prospect Hill Road at the intersection of Prospect Hill Road and Burke Road, Camberwell",Camberwell,145.05744159222,-37.828195403811
201,"Princes Highway at the intersection of Princes Highway and South Gippsland Freeway, Eumemmerring",Eumemmerring,145.25139212608,-38.003476843531
202,"CityLink, Burnley Tunnel approximately 430 metres after tunnel entrance, Southbank",CityLink Burnley Tunnel Southbank,144.97004985809,-37.824971957071
203,"CityLink, Burnley Tunnel approximately 2140 metres after tunnel entrance, Cremorne",CityLink Burnley Tunnel Cremorne,144.9885892868,-37.82524314303
204,"Peninsula Link Freeway and Eramosa Road West Bridge Southbound, Moorooduc",Peninsula Link Moorooduc,145.129323,-38.216401
205,"Peninsula Link Freeway and Skye Road Bridge Southbound, Frankston",Peninsula Link Frankston,145.173254,-38.141394
206,"Peninsula Link Freeway and Skye Road Bridge Northbound, Frankston",Peninsula Link Frankston,145.172879,-38.141341
207,"Glen Iris Road at the intersection of Glen Iris Road and Toorak Road, Camberwell",Camberwell,145.06859153509,-37.84722919407
208,"Somerville Road at the intersection of Somerville Road and Geelong Road, Yarraville",Yarraville,144.86989617348,-37.811313913023
209,"EastLink Southbound, Wellington Road Bridge, Rowville",EastLink Rowville,145.2132833004,-37.925572772141
210,"Albert Street at the intersection of Albert Street and Gower Street, Preston",Preston,145.0225353241,-37.742657039881
211,"EastLink Northbound, Dandenong Bypass Bridge, Keysborough",EastLink Keysborough,145.19129991531,-38.001159343922
212,"Gordon Street at the intersection of Gordon Street and Barkly Street, Footscray",Footscray,144.88812983036,-37.798700332164
213,"Thomas Street at the intersection of Thomas Street and North Road, Brighton East",Brighton East,145.02591624856,-37.902331787208
214,"Station Street at the intersection of Station Street and Thames Street, Box Hill",Box Hill,145.12471139431,-37.813797381722
215,"St Georges Road at the intersection of St Georges Road and Arthurton Road, Northcote",Northcote,144.99160677194,-37.768323113227
216,"Peel Street at the intersection of Peel Street and Victoria Street, West Melbourne",West Melbourne,144.95583683252,-37.806009774827
217,"Heatherton Road at the intersection of Heatherton Road and Corrigan Road, Noble Park",Noble Park,145.1686835289,-37.96448597414
218,"EastLink Southbound, Dandenong Bypass Bridge, Keysborough",EastLink Keysborough,145.19173979759,-38.00121852403
219,"Punt Road at the intersection of Punt Road and Toorak Road, South Yarra",South Yarra,144.98645156622,-37.838442126583
220,"Geelong Street at the intersection of Geelong Street and Geelong Road, Kingsville",Kingsville,144.882876724,-37.804184071409
221,"Boronia Road at the intersection of Boronia Road and Wantirna Road, Wantirna",Wantirna,145.22740513086,-37.847734336548
222,"Dandenong Road at the intersection of Dandenong Road and Orrong Road, Caulfield North",Caulfield North,145.01067727804,-37.860366009068
223,"Lonsdale Street at the intersection of Lonsdale Street and Webster Street, Dandenong",Dandenong,145.21602451801,-37.992953982375
224,"Barry Road at the intersection of Barry Road and King Street, Dallas",Dallas,144.94254648685,-37.666042790945
225,"Denmark Street at the intersection of Denmark Street and Barkers Road, Kew",Kew,145.02793461084,-37.813533570113
226,"Punt Road at the intersection of Punt Road and High Street, Prahran",Prahran,144.98426288366,-37.850550151227
227,"Pascoe Vale Road at the intersection of Pascoe Vale Road and Reservoir Drive, Coolaroo",Coolaroo,144.92899999022,-37.643620551009
228,"Ballarat Road at the intersection of Ballarat Road and Ashley Street, Maidstone",Maidstone,144.86559525132,-37.781542871524
229,"Glenferrie Road at the intersection of Glenferrie Road and Burwood Road, Hawthorn",Hawthorn,145.03528118133,-37.822743109722
230,"CityLink, Domain Tunnel, Southbank, approximately 1195 after tunnel entrance, Melbourne",CityLink Domain Tunnel Melbourne,144.9711657,-37.8251414
231,"Hotham Street at the intersection of Hotham Street and Balaclava Road, St Kilda East",St Kilda East,144.9993181,-37.869411
232,"South Gippsland Highway at the intersection of South Gippsland Highway and Thompsons Road, Cranbourne North",Cranbourne North,145.27642786503,-38.082085732242
