row_index,location_long,location_short,longitude,latitude,lga_code
99,"Princes Freeway, Point Wilson Road Bridge, Geelong Bound, Point Wilson",Princes Freeway Point Wilson,144.5335793,-37.98195711,22750
100,"Dandenong-Frankston Road at the intersection of Dandenong-Frankston Road and Skye Road, Frankston",Frankston,145.1341809,-38.12849403,22170
101,"Doncaster Road at the intersection of Doncaster Road and Gardenia Road, Balwyn North",Balwyn North,145.0995469,-37.78989583,21110
102,"Gilbert Road at the intersection of Gilbert Road and Bell Street, Preston",Preston,144.9892786,-37.74361573,21890
103,"Warrigal Road at the intersection of Warrigal Road and North Road, Oakleigh",Oakleigh,145.0850201,-37.90932729,24970
104,"Maroondah Highway, approximately 100 metres West of Hutchinson Street, Lilydale",Lilydale,145.34706,-37.756875,27450
105,"Centre Road at the intersection of Centre Road and Buckland Street, Clayton",Clayton,145.1316664,-37.93009188,24970
106,"Princes Highway at the intersection of Princes Highway and Webb Street, Narre Warren",Narre Warren,145.3052482,-38.02542024,21610
107,"Exhibition Street at the intersection of Exhibition Street and Victoria Street, Melbourne",Melbourne,144.9687597,-37.80744657,24600
108,"LaTrobe Street at the intersection of LaTrobe Street and Spencer Street, West Melbourne",West Melbourne,144.951031,-37.813194,24600
109,"Flemington Road at the intersection of Flemington Road and Gatehouse Street, Parkville",Parkville,144.9511161,-37.79638485,24600
110,"Burwood Highway at the intersection of Burwood Highway and Brenock Park Drive, Ferntree Gully",Ferntree Gully,145.2948815,-37.88872406,23670
111,"Bell Street at the intersection of Bell Street and St Georges Road, Preston",Preston,144.9973574,-37.74453198,21890
112,"Dandenong Road at the intersection of Dandenong Road and Clayton Road, Oakleigh East",Oakleigh East,145.1221325,-37.91115991,24970
113,"Burke Road at the intersection of Burke Road and Old Burke Road, Kew East",Kew East,145.064898,-37.787505,21110
114,"King Street at the intersection of King Street and Hawke Street, West Melbourne",West Melbourne,144.9487934,-37.80563256,24600
115,"Springvale Road at the intersection of Springvale Road and Lower Dandenong Road, Braeside",Braeside,145.1442277,-37.99105364,23430
116,"Waverley Road at the intersection of Waverley Road and Blackburn Road, Mount Waverley",Mount Waverley,145.1455106,-37.88668977,24970
117,"Greensborough Highway at the intersection of Greensborough Highway and Grimshaw Street, Greensborough",Greensborough,145.089865,-37.703029,20660
118,"Greensborough Highway at the intersection of Greensborough Highway and Grimshaw Street, Watsonia",Watsonia,145.089557,-37.703365,20660
119,"High Street Road at the intersection of High Street Road and Stud Road, Wantirna South",Wantirna South,145.2326891,-37.87691976,23670
120,"City Road at the intersection of City Road and Montague Street, South Melbourne",South Melbourne,144.9518484,-37.83282323,25900
121,"Centre Road at the intersection of Centre Road and Springs Road, Clayton South",Clayton South,145.1100424,-37.92747481,23430
