Period,CSI,Transport Mode,Scale,Measure,Source Document,CSI bracket,year_full,month_short,date_full
Apr-Jun'14,74.4,metro tram,0-to-10-scale,satisfaction,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2014,Apr,13-Apr-2014
Jul-Sep'14,73.7,metro tram,0-to-10-scale,satisfaction,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2014,Jul,13-Jul-2014
Oct-Dec'14,74.7,metro tram,0-to-10-scale,satisfaction,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2014,Oct,13-Oct-2014
Jan-Mar'15,75.9,metro tram,0-to-10-scale,satisfaction,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2015,Jan,13-Jan-2015
Apr-Jun'15,75.2,metro tram,0-to-10-scale,satisfaction,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2015,Apr,13-Apr-2015
Jul-Sep '15,75.6,metro tram,0-to-10-scale,satisfaction,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2015,Jul,13-Jul-2015
Oct-Dec’15,77.1,metro tram,0-to-10-scale,satisfaction,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2015,Oct,13-Oct-2015
Jan-Mar '16,76.3,metro tram,0-to-10-scale,satisfaction,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2016,Jan,13-Jan-2016
Apr-Jun '16,75.2,metro tram,0-to-10-scale,satisfaction,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2016,Apr,13-Apr-2016
Jul-Sep '16,74.9,metro tram,0-to-10-scale,satisfaction,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2016,Jul,13-Jul-2016
Oct-Dec’16,76.4,metro tram,0-to-10-scale,satisfaction,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2016,Oct,13-Oct-2016
Jan-Mar '17,76.2,metro tram,0-to-10-scale,satisfaction,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2017,Jan,13-Jan-2017
Apr-Jun '17,76.4,metro tram,0-to-10-scale,satisfaction,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2017,Apr,13-Apr-2017
Jul-Sep '17,76.8,metro tram,0-to-10-scale,satisfaction,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2017,Jul,13-Jul-2017
Oct-Dec'17,76.1,metro tram,0-to-10-scale,satisfaction,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2017,Oct,13-Oct-2017
